field_T,current_uA,dVdI_full_ohm,dVdI_covered_ohm,dVdI_boundary_ohm,dVdI_uncovered_ohm
-1.5,0.0,5.985795267071676,5.846006720418269,6.1748833747567105,5.925239872609263
-1.5,0.02500000037252903,6.482555654621758,6.431852536873546,6.628115344396936,6.357958118502405
-1.5,0.05000000074505806,10.353474860022107,10.995805333471942,10.15924715486478,9.732214484763594
-1.5,0.07500000298023224,14.882465216514436,16.325019019083033,14.285177144448305,13.702016323897485
-1.5,0.10000000149011612,14.69694483721831,16.071577525296473,14.09844009193,13.611195258384482
-1.5,0.125,12.796315290123477,13.79602423092663,12.349925144051646,12.021530640081615
-1.5,0.15000000596046448,12.040242806509621,12.916246069751729,11.675883545322822,11.32560623846393
-1.5,0.17499999701976776,11.758680172375634,12.645643545753032,11.468519575100068,10.930092642262913
-1.5,0.20000000298023224,11.633523489500071,12.576013544965036,11.417128401173173,10.630489827558058
-1.5,0.22499999403953552,11.575858348596505,12.571319382426516,11.416563093675855,10.424101716205115
-1.5,0.25,11.548505156586018,12.569981096685183,11.41691979648656,10.324151941027154
-1.5,0.2750000059604645,11.534374944734786,12.553226360862055,11.402998278092518,10.313340041120497
-1.5,0.30000001192092896,11.526258779226318,12.52646269771239,11.37998034065565,10.350646883098946
-1.5,0.32499998807907104,11.52133752952848,12.49941683475005,11.356573661386292,10.400691787303224
-1.5,0.3499999940395355,11.518473230183957,12.47735554933216,11.337480284917149,10.445773238373675
-1.5,0.375,11.51710335456454,12.461361733543328,11.323689506355308,10.481004780983753
-1.5,0.4000000059604645,11.51692270551196,12.450671407469784,11.314567845105486,10.50714763151909
-1.5,0.42500001192092896,11.517795748440818,12.444176789081638,11.309185260416825,10.526457936039023
-1.5,0.44999998807907104,11.519671664962942,12.440950359319444,11.306727921470028,10.541103630687147
-1.5,0.4749999940395355,11.522602993107967,12.440341823857153,11.306691054431923,10.552843476612367
-1.5,0.5,11.52673581089175,12.442039196008665,11.308808960947673,10.56300030528665
-1.5,0.5249999761581421,11.532227802044758,12.445867565520032,11.312963718039569,10.572555052992954
-1.5,0.550000011920929,11.539334856163379,12.45186541173112,11.319246634607907,10.582280982829587
-1.5,0.574999988079071,11.548348141024576,12.460204319408291,11.32780723103727,10.592821998778177
-1.5,0.6000000238418579,11.559606603986083,12.471107763193316,11.338924122318105,10.60475573174081
-1.5,0.625,11.573520211325558,12.484921226258649,11.352976825454817,10.618621112763535
-1.5,0.6499999761581421,11.59051701162312,12.502057396973868,11.370351098079396,10.634923627534135
-1.5,0.675000011920929,11.611128783642357,12.523026694969701,11.391585571193218,10.654215188422256
-1.5,0.699999988079071,11.635935510582414,12.548387319783501,11.417254854961953,10.677112794356361
-1.5,0.7250000238418579,11.665602485657047,12.578839115152249,11.44801857926106,10.704241942654562
-1.5,0.75,11.700817406230101,12.615058673507292,11.484609824479975,10.73624503785038
-1.5,0.7749999761581421,11.742355616593642,12.657807584414172,11.527835719545749,10.773873893792285
-1.5,0.800000011920929,11.791159258170865,12.708099907166655,11.578657255663359,10.817946964742163
-1.5,0.824999988079071,11.848152750505392,12.766868742713854,11.638032324682825,10.869332143760886
-1.5,0.8500000238418579,11.914377351413464,12.835171941379599,11.70704265699652,10.928993987349088
-1.5,0.875,11.99098616526527,12.914224877519018,11.786890908707335,10.997934197957733
-1.5,0.8999999761581421,12.079206016276942,13.005253459271415,11.878867560029846,11.077295980502868
-1.5,0.925000011920929,12.18041077649562,13.10970204446474,11.984382814266922,11.168308173731646
-1.5,0.949999988079071,12.296017271395272,13.229022320499439,12.104917830976888,11.272254050588117
-1.5,0.9750000238418579,12.427582021822047,13.364809033971966,12.242111990520499,11.390527269129791
-1.5,1.0,12.576755227822787,13.518796709364182,12.397670616246529,11.524588975960285
-1.5,1.024999976158142,12.745302790375376,13.692761895437343,12.573436319329232,11.676088200388989
-1.5,1.0499999523162842,12.935060300726889,13.88861999129574,12.771319564793458,11.846651335636352
-1.5,1.0750000476837158,13.148058011629843,14.108478847969991,12.9934507447214,12.038068776967549
-1.5,1.100000023841858,13.386395479326922,14.354483018238454,13.24200764907016,12.252274107086635
-1.5,1.125,13.65216034771737,14.62878432393353,13.519158233852835,12.491159939536857
-1.5,1.149999976158142,13.947638331191058,14.933739893568827,13.827305564501103,12.756757656852585
-1.5,1.1749999523162842,14.275188193373253,15.271797381808767,14.168900200535063,13.051181814486739
-1.5,1.2000000476837158,14.63726558927641,15.645440937179103,14.546524798033317,13.376679686030116
-1.5,1.225000023841858,15.036357335032676,16.05725682316381,14.96276303404943,13.735472660016057
-1.5,1.25,15.47493921102597,16.509832050190823,15.420155176984451,14.129798106448277
-1.5,1.274999976158142,15.955563528674304,17.005767194258908,15.921389553829556,14.561960842295434
-1.5,1.2999999523162842,16.48076913105001,17.54761795409121,16.46913242240339,15.034306725818396
-1.5,1.3250000476837158,17.053164172555626,18.13806758013601,17.06612105296307,15.549168847550504
-1.5,1.350000023841858,17.675234152603764,18.779740007161877,17.714925047989937,16.10873086176855
-1.5,1.375,18.349338827807685,19.475034306245618,18.417974217887377,16.715205244657284
-1.5,1.399999976158142,19.077806841351332,20.226287878176663,19.177703151653304,17.370767377151196
-1.5,1.4249999523162842,19.862718995223474,21.03563164351533,19.996333616125014,18.07724142710265
-1.5,1.4500000476837158,20.706182859849775,21.905207546301142,20.876070313947366,18.83655835073057
-1.5,1.475000023841858,21.609965924373284,22.8368243789609,21.818714575220326,19.650383915105465
-1.5,1.5,22.57538556319321,23.831794910118504,22.825642130938434,20.51996399745053
-1.5,1.524999976158142,23.60367578853402,24.89136009033507,23.898123853540937,21.446473954945702
-1.5,1.5499999523162842,24.695594918206552,26.016242982641984,25.037022666989742,22.430580942639494
-1.5,1.5750000476837158,25.85164296316566,27.20688920829747,26.242812029975198,23.472894908535466
-1.5,1.600000023841858,27.071775974095146,28.463201006915824,27.515460580663387,24.573428861101775
-1.5,1.625,28.355337191420517,29.78441953585161,28.85431763929313,25.73165782596226
-1.5,1.649999976158142,29.701325388802616,31.169459642612537,30.25829458067301,26.946812118495018
-1.5,1.6749999523162842,31.108022772504228,32.616435260833896,31.725647815255513,28.21743893519914
-1.5,1.7000000476837158,32.57335546506073,34.12316207739673,33.2541519867076,29.541817708182407
-1.5,1.725000023841858,34.09450625388757,35.68658648427845,34.84093125131426,30.91753334900517
-1.5,1.75,35.66790538844498,37.30293007261673,36.48228198876063,32.34148053934433
-1.5,1.774999976158142,37.28951711049626,38.96791803147016,38.17396648474198,33.81022038646336
-1.5,1.7999999523162842,38.95458656187043,40.67651467595476,39.91105369615332,35.31961778204436
-1.5,1.8250000476837158,40.65804202507093,42.42344496092642,41.68818726411632,36.86525916461596
-1.5,1.850000023841858,42.39400630884802,44.202381081555245,43.49933589070099,38.44209032600088
-1.5,1.875,44.15596748198152,46.00649287231522,45.33770155833349,40.044416882314636
-1.5,1.899999976158142,45.93722551923929,47.828801964109175,47.19626030133952,41.666352163098736
-1.5,1.9249999523162842,47.730428391434316,49.66152762463162,49.06741460876981,43.30145893023439
-1.5,1.9500000476837158,49.5282455977823,51.49697818752588,50.94349925683298,44.94334791088124
-1.5,1.975000023841858,51.322924801740896,53.3269834862906,52.81637221012761,46.58535894876843
-1.5,2.0,53.106220244917836,55.14294892327189,54.67746554300936,48.22015388082866
-1.5,2.0250000953674316,54.870709860845295,56.937044784644854,56.519114750485755,49.841192519822016
-1.5,2.049999952316284,56.60811936648531,58.70053987510232,58.3326884631291,51.44130283692971
