device,sourceVersion,sourceRole,caseName,topology,linkClass,calibrationMode,seed,mechanism,primaryRTScore,transitionScore,probeAsymmetryScore,heldoutScore,parameterCount,complexityPenalty,objectiveScore,hasBothProbePairs,hasHeldoutDiagnostic
AS006,v7.4.5,runtime_cleaned_physical_bottleneck_Wij,central_lane_g0_03_p0_03,central_lane,,shape,NaN,central-lane / 1D-like,0.175577479903583,0.275375604377878,0.0481259348583226,0.166090633807819,1,0.025,0.421371326267292,1,1
AS006,v7.4.5,runtime_cleaned_physical_bottleneck_Wij,central_lane_g0_03_p0_08,central_lane,,shape,NaN,central-lane / 1D-like,0.175580122057099,0.275380250836635,0.0481259348583226,0.166093224445022,1,0.025,0.421377142234568,1,1
AS006,v7.4.6,gap_tied_weak_links,bulk_AB_reference,none,bulk_sns,shape,NaN,no weak links,0.222507913444842,0.234745736082692,0.048108991542823,0.227952565572825,0,0,0.427893386348772,1,1
AS006,v7.4.5,runtime_cleaned_physical_bottleneck_Wij,no_weak_links,none,,shape,NaN,no weak links,0.22194233049767,0.236433805155282,0.0483208164117649,0.227107792412538,0,0,0.428348189031969,1,1
AS006,v7.4.6,gap_tied_weak_links,bulk_AB_reference,none,bulk_sns,conductance,NaN,no weak links,0.220156882854387,0.233012310150632,0.0484792164703883,0.267232195735715,0,0,0.430194278115046,1,1
AS006,v7.4.5,runtime_cleaned_physical_bottleneck_Wij,central_lane_g0_003_p0_03,central_lane,,shape,NaN,central-lane / 1D-like,0.179608388305595,0.282420853809787,0.0481259348583226,0.170092914427642,1,0.025,0.430224601289039,1,1
AS006,v7.4.5,runtime_cleaned_physical_bottleneck_Wij,central_lane_g0_003_p0_08,central_lane,,shape,NaN,central-lane / 1D-like,0.179634024877284,0.282466751365455,0.0481259348583226,0.170118068829478,1,0.025,0.430281510901143,1,1
AS006,v7.4.5,runtime_cleaned_physical_bottleneck_Wij,central_lane_g0_01_p0_03,central_lane,,shape,NaN,central-lane / 1D-like,0.179695574571206,0.282577228451971,0.0481259348583226,0.170178088757666,1,0.025,0.430418257282873,1,1
AS006,v7.4.5,runtime_cleaned_physical_bottleneck_Wij,central_lane_g0_01_p0_08,central_lane,,shape,NaN,central-lane / 1D-like,0.179705345293033,0.282594796561436,0.0481259348583226,0.170187615261945,1,0.025,0.430439983113712,1,1
AS006,v7.4.5,runtime_cleaned_physical_bottleneck_Wij,no_weak_links,none,,conductance,NaN,no weak links,0.221942330391153,0.236433805086387,0.0483208164135672,0.268016871878733,0,0,0.434045116165274,1,1
AS006,v7.4.5,runtime_cleaned_physical_bottleneck_Wij,anisotropic_g0_01_p0_08,anisotropic,,conductance,NaN,physical bottleneck W_{ij},0.184746481238112,0.223687092684002,0.0463485835143281,0.180476206416188,3,0.075,0.450590782116386,1,1
AS006,v7.4.5,runtime_cleaned_physical_bottleneck_Wij,anisotropic_g0_003_p0_08,anisotropic,,conductance,NaN,physical bottleneck W_{ij},0.184917192110267,0.223712106139532,0.0463360172022475,0.180790081646043,3,0.075,0.450815144725186,1,1
AS006,v7.4.5,runtime_cleaned_physical_bottleneck_Wij,anisotropic_g0_03_p0_08,anisotropic,,conductance,NaN,physical bottleneck W_{ij},0.185162164457989,0.223779111780982,0.0466674861685649,0.18042000581707,3,0.075,0.451244747761642,1,1
AS006,v7.4.5,runtime_cleaned_physical_bottleneck_Wij,anisotropic_g0_01_p0_08,anisotropic,,shape,NaN,physical bottleneck W_{ij},0.184746481178675,0.223687092669137,0.0463485835141106,0.190302273434603,3,0.075,0.45203079212286,1,1
AS006,v7.4.5,runtime_cleaned_physical_bottleneck_Wij,anisotropic_g0_003_p0_08,anisotropic,,shape,NaN,physical bottleneck W_{ij},0.184917192050809,0.223712106123759,0.046336017203443,0.190638784562383,3,0.075,0.45225807621032,1,1
AS006,v7.4.5,runtime_cleaned_physical_bottleneck_Wij,anisotropic_g0_03_p0_08,anisotropic,,shape,NaN,physical bottleneck W_{ij},0.185162164404758,0.22377911176728,0.0466674861676521,0.190352089071666,3,0.075,0.452700298554457,1,1
AS006,v7.4.5,runtime_cleaned_physical_bottleneck_Wij,combined_g0_003_p0_08,combined,,conductance,NaN,physical bottleneck W_{ij},0.190305045180695,0.225240688506239,0.0477727597783239,0.194698113290996,3,0.075,0.460016385287621,1,1
AS006,v7.4.5,runtime_cleaned_physical_bottleneck_Wij,combined_g0_003_p0_08,combined,,shape,NaN,physical bottleneck W_{ij},0.190305045180695,0.225240688506239,0.0477727597783239,0.194698113290996,3,0.075,0.460016385287621,1,1
AS006,v7.4.5,runtime_cleaned_physical_bottleneck_Wij,combined_g0_01_p0_08,combined,,conductance,NaN,physical bottleneck W_{ij},0.190854493636831,0.225335112563512,0.0476281106714284,0.195170391671349,3,0.075,0.460604357854602,1,1
AS006,v7.4.5,runtime_cleaned_physical_bottleneck_Wij,combined_g0_01_p0_08,combined,,shape,NaN,physical bottleneck W_{ij},0.190854493636831,0.225335112563512,0.0476281106714284,0.195170391671349,3,0.075,0.460604357854602,1,1
AS006,v7.4.5,runtime_cleaned_physical_bottleneck_Wij,combined_g0_03_p0_08,combined,,conductance,NaN,physical bottleneck W_{ij},0.191775155186834,0.225488459513202,0.0476137391274994,0.196154088899947,3,0.075,0.46175132604775,1,1
AS006,v7.4.5,runtime_cleaned_physical_bottleneck_Wij,combined_g0_03_p0_08,combined,,shape,NaN,physical bottleneck W_{ij},0.191775155186834,0.225488459513202,0.0476137391274994,0.196154088899947,3,0.075,0.46175132604775,1,1
AS006,v7.4.5,runtime_cleaned_physical_bottleneck_Wij,shuffled_g0_003_p0_08,shuffled,,shape,NaN,shuffled weak links,0.210540894624759,0.231061138605775,0.049372754363085,0.218904173384066,2,0.05,0.463189056014747,1,1
AS006,v7.4.5,runtime_cleaned_physical_bottleneck_Wij,shuffled_g0_01_p0_08,shuffled,,shape,NaN,shuffled weak links,0.210838105871939,0.231173778155996,0.0492746799743603,0.219079988483422,2,0.05,0.46352006165781,1,1
AS006,v7.4.5,runtime_cleaned_physical_bottleneck_Wij,shuffled_g0_03_p0_08,shuffled,,shape,NaN,shuffled weak links,0.211649308456699,0.231490204732622,0.0490694002843229,0.219556192664521,2,0.05,0.46446579778823,1,1
AS006,v7.4.5,runtime_cleaned_physical_bottleneck_Wij,shuffled_g0_003_p0_08,shuffled,,conductance,NaN,shuffled weak links,0.210540894545357,0.231061138562864,0.0493727543633683,0.249470586180042,2,0.05,0.467491645039087,1,1
AS006,v7.4.5,runtime_cleaned_physical_bottleneck_Wij,shuffled_g0_01_p0_08,shuffled,,conductance,NaN,shuffled weak links,0.210838105793418,0.231173778113379,0.049274679975139,0.249522929195232,2,0.05,0.467804872644752,1,1
AS006,v7.4.5,runtime_cleaned_physical_bottleneck_Wij,anisotropic_g0_003_p0_03,anisotropic,,conductance,NaN,physical bottleneck W_{ij},0.197300275491177,0.226569237397692,0.0471215600221555,0.198333547990192,3,0.075,0.467945841060761,1,1
AS006,v7.4.6,gap_tied_weak_links,shuffled_tau_control,shuffled,boundary_constriction,shape,NaN,shuffled weak links,0.216309525643506,0.231628183526018,0.0467723765005171,0.221564052347737,2,0.05,0.46811635926282,1,1
AS006,v7.4.5,runtime_cleaned_physical_bottleneck_Wij,anisotropic_g0_01_p0_03,anisotropic,,conductance,NaN,physical bottleneck W_{ij},0.197524109747349,0.226601373656709,0.0471256932626898,0.198454484630111,3,0.075,0.468208967850331,1,1
AS006,v7.4.5,runtime_cleaned_physical_bottleneck_Wij,anisotropic_g0_003_p0_03,anisotropic,,shape,NaN,physical bottleneck W_{ij},0.197300275476475,0.226569237392398,0.0471215600222326,0.202629249224545,3,0.075,0.468567458782212,1,1
AS006,v7.4.5,runtime_cleaned_physical_bottleneck_Wij,shuffled_g0_03_p0_08,shuffled,,conductance,NaN,shuffled weak links,0.211649308379046,0.231490204690069,0.0490694002847645,0.249879223153729,2,0.05,0.468732290886506,1,1
AS006,v7.4.5,runtime_cleaned_physical_bottleneck_Wij,anisotropic_g0_01_p0_03,anisotropic,,shape,NaN,physical bottleneck W_{ij},0.197524109732855,0.226601373651397,0.0471256932628784,0.202805872836574,3,0.075,0.468838565851778,1,1
AS006,v7.4.5,runtime_cleaned_physical_bottleneck_Wij,anisotropic_g0_03_p0_03,anisotropic,,conductance,NaN,physical bottleneck W_{ij},0.198131057367408,0.226693585383289,0.0471260656033154,0.198844519902337,3,0.075,0.468927992916365,1,1
