sourceVersion,seed,scriptPath,scoreFile,ledgerFile,loaded,rowCount,note
v7.4.6,101,/Users/asewaket/Documents/LTSpice Superconducting Circuit/matlab_v7_4_6_files/run_v746_as006_gap_weaklink_sweep.m,/Users/asewaket/Documents/LTSpice Superconducting Circuit/matlab_v7_4_6_files/outputs/v7_4_6_as006_gap_weaklink_v800_phase3_seed_101/AS006_v7_4_6_gap_weaklink_scores.csv,/Users/asewaket/Documents/LTSpice Superconducting Circuit/matlab_v8_0/outputs/v8_0_phase3_as006_multiseed/seed_ledgers/AS006_v8_0_phase3_seed_101_scores.csv,1,490,seed ledger written
v7.4.6,202,/Users/asewaket/Documents/LTSpice Superconducting Circuit/matlab_v7_4_6_files/run_v746_as006_gap_weaklink_sweep.m,/Users/asewaket/Documents/LTSpice Superconducting Circuit/matlab_v7_4_6_files/outputs/v7_4_6_as006_gap_weaklink_v800_phase3_seed_202/AS006_v7_4_6_gap_weaklink_scores.csv,/Users/asewaket/Documents/LTSpice Superconducting Circuit/matlab_v8_0/outputs/v8_0_phase3_as006_multiseed/seed_ledgers/AS006_v8_0_phase3_seed_202_scores.csv,1,490,seed ledger written
v7.4.6,303,/Users/asewaket/Documents/LTSpice Superconducting Circuit/matlab_v7_4_6_files/run_v746_as006_gap_weaklink_sweep.m,/Users/asewaket/Documents/LTSpice Superconducting Circuit/matlab_v7_4_6_files/outputs/v7_4_6_as006_gap_weaklink_v800_phase3_seed_303/AS006_v7_4_6_gap_weaklink_scores.csv,/Users/asewaket/Documents/LTSpice Superconducting Circuit/matlab_v8_0/outputs/v8_0_phase3_as006_multiseed/seed_ledgers/AS006_v8_0_phase3_seed_303_scores.csv,1,490,seed ledger written
v7.4.6,404,/Users/asewaket/Documents/LTSpice Superconducting Circuit/matlab_v7_4_6_files/run_v746_as006_gap_weaklink_sweep.m,/Users/asewaket/Documents/LTSpice Superconducting Circuit/matlab_v7_4_6_files/outputs/v7_4_6_as006_gap_weaklink_v800_phase3_seed_404/AS006_v7_4_6_gap_weaklink_scores.csv,/Users/asewaket/Documents/LTSpice Superconducting Circuit/matlab_v8_0/outputs/v8_0_phase3_as006_multiseed/seed_ledgers/AS006_v8_0_phase3_seed_404_scores.csv,1,490,seed ledger written
v7.4.6,505,/Users/asewaket/Documents/LTSpice Superconducting Circuit/matlab_v7_4_6_files/run_v746_as006_gap_weaklink_sweep.m,/Users/asewaket/Documents/LTSpice Superconducting Circuit/matlab_v7_4_6_files/outputs/v7_4_6_as006_gap_weaklink_v800_phase3_seed_505/AS006_v7_4_6_gap_weaklink_scores.csv,/Users/asewaket/Documents/LTSpice Superconducting Circuit/matlab_v8_0/outputs/v8_0_phase3_as006_multiseed/seed_ledgers/AS006_v8_0_phase3_seed_505_scores.csv,1,490,seed ledger written
v7.4.6,606,/Users/asewaket/Documents/LTSpice Superconducting Circuit/matlab_v7_4_6_files/run_v746_as006_gap_weaklink_sweep.m,/Users/asewaket/Documents/LTSpice Superconducting Circuit/matlab_v7_4_6_files/outputs/v7_4_6_as006_gap_weaklink_v800_phase3_seed_606/AS006_v7_4_6_gap_weaklink_scores.csv,/Users/asewaket/Documents/LTSpice Superconducting Circuit/matlab_v8_0/outputs/v8_0_phase3_as006_multiseed/seed_ledgers/AS006_v8_0_phase3_seed_606_scores.csv,1,490,seed ledger written
v7.4.6,707,/Users/asewaket/Documents/LTSpice Superconducting Circuit/matlab_v7_4_6_files/run_v746_as006_gap_weaklink_sweep.m,/Users/asewaket/Documents/LTSpice Superconducting Circuit/matlab_v7_4_6_files/outputs/v7_4_6_as006_gap_weaklink_v800_phase3_seed_707/AS006_v7_4_6_gap_weaklink_scores.csv,/Users/asewaket/Documents/LTSpice Superconducting Circuit/matlab_v8_0/outputs/v8_0_phase3_as006_multiseed/seed_ledgers/AS006_v8_0_phase3_seed_707_scores.csv,1,490,seed ledger written
v7.4.6,808,/Users/asewaket/Documents/LTSpice Superconducting Circuit/matlab_v7_4_6_files/run_v746_as006_gap_weaklink_sweep.m,/Users/asewaket/Documents/LTSpice Superconducting Circuit/matlab_v7_4_6_files/outputs/v7_4_6_as006_gap_weaklink_v800_phase3_seed_808/AS006_v7_4_6_gap_weaklink_scores.csv,/Users/asewaket/Documents/LTSpice Superconducting Circuit/matlab_v8_0/outputs/v8_0_phase3_as006_multiseed/seed_ledgers/AS006_v8_0_phase3_seed_808_scores.csv,1,490,seed ledger written
v7.4.6,909,/Users/asewaket/Documents/LTSpice Superconducting Circuit/matlab_v7_4_6_files/run_v746_as006_gap_weaklink_sweep.m,/Users/asewaket/Documents/LTSpice Superconducting Circuit/matlab_v7_4_6_files/outputs/v7_4_6_as006_gap_weaklink_v800_phase3_seed_909/AS006_v7_4_6_gap_weaklink_scores.csv,/Users/asewaket/Documents/LTSpice Superconducting Circuit/matlab_v8_0/outputs/v8_0_phase3_as006_multiseed/seed_ledgers/AS006_v8_0_phase3_seed_909_scores.csv,1,490,seed ledger written
v7.4.6,1010,/Users/asewaket/Documents/LTSpice Superconducting Circuit/matlab_v7_4_6_files/run_v746_as006_gap_weaklink_sweep.m,/Users/asewaket/Documents/LTSpice Superconducting Circuit/matlab_v7_4_6_files/outputs/v7_4_6_as006_gap_weaklink_v800_phase3_seed_1010/AS006_v7_4_6_gap_weaklink_scores.csv,/Users/asewaket/Documents/LTSpice Superconducting Circuit/matlab_v8_0/outputs/v8_0_phase3_as006_multiseed/seed_ledgers/AS006_v8_0_phase3_seed_1010_scores.csv,1,490,seed ledger written
