device,caseName,description,topology,linkClass,calibrationMode,alphaGap,alphaPriorPenalty,gammaW,pW,meanW,minW,activeWeakLinkFraction,medianWeakIc_A,medianAllIc_A,medianWeakDelta_meV,normalScaleApplied,shapeScore,shapeFullMap,shapeLowBias,shapeZeroBias,shapeAsymmetry,conductanceScore,conductanceFullMap,conductanceLowBias,conductanceZeroBias,conductanceAsymmetry,modelRN_top_4_10,modelRN_bottom_3_9,seed,sourceVersion,sourceRole,sourceFile
AS006,contact_relaxed_a3_3_g0_05_p0_3,"contact-relaxed SNS links, alpha=3.3, tau=0.05, p=0.3",contact_relaxation,contact_relaxed,conductance,3.3,1,0.05,0.3,0.714793028322441,0.05,0.300217864923747,3.74518863711184e-08,5.70298387074123e-07,0.0441433197252112,86.7936274841479,0.167238290527058,0.126355866806424,0.271521049343709,0.147668775536498,0.0500877800567551,2.19066405441624,3.21614527800499,2.49970917600157,2.62858068704752,0.0769580772640948,1150.64151688922,1112.59236559271,101,v7.4.6,gap_tied_weak_links_phase3_seed,/Users/asewaket/Documents/LTSpice Superconducting Circuit/matlab_v7_4_6_files/outputs/v7_4_6_as006_gap_weaklink_v800_phase3_seed_101/AS006_v7_4_6_gap_weaklink_scores.csv
AS006,central_lane_gap_control,"central-lane topology with same gap-derived links",central_lane,boundary_constriction,conductance,3.7,0,0.01,0.08,0.920627450980392,0.01,0.472222222222222,1.0885882889167e-08,4.15887513341321e-07,0.129936907181052,159.093472801799,0.171678215432495,0.0694930237658761,0.139053173434851,0.397943252021828,0.0481259348583226,1137.36065562681,1416.32733088235,1422.93782457983,1393.74262534101,38.1564725607039,353245.93868658,353245.93868658,101,v7.4.6,gap_tied_weak_links_phase3_seed,/Users/asewaket/Documents/LTSpice Superconducting Circuit/matlab_v7_4_6_files/outputs/v7_4_6_as006_gap_weaklink_v800_phase3_seed_101/AS006_v7_4_6_gap_weaklink_scores.csv
AS006,contact_relaxed_a3_7_g0_05_p0_3,"contact-relaxed SNS links, alpha=3.7, tau=0.05, p=0.3",contact_relaxation,contact_relaxed,conductance,3.7,0,0.05,0.3,0.714793028322441,0.05,0.300217864923747,4.1991508961557e-08,6.39425464295229e-07,0.0494940251464489,86.7936274841479,0.171697333177856,0.134378653618188,0.281931833796749,0.14439350580159,0.0502354208747938,2.17189367241363,3.20588345476414,2.46503015896494,2.60930771484116,0.0781474855639238,1155.0388802015,1117.03084281674,101,v7.4.6,gap_tied_weak_links_phase3_seed,/Users/asewaket/Documents/LTSpice Superconducting Circuit/matlab_v7_4_6_files/outputs/v7_4_6_as006_gap_weaklink_v800_phase3_seed_101/AS006_v7_4_6_gap_weaklink_scores.csv
AS006,contact_relaxed_a4_1_g0_05_p0_3,"contact-relaxed SNS links, alpha=4.1, tau=0.05, p=0.3",contact_relaxation,contact_relaxed,conductance,4.1,0.999999999999997,0.05,0.3,0.714793028322441,0.05,0.300217864923747,4.65311315519956e-08,7.08552541516335e-07,0.0548447305676866,86.7936274841479,0.175811319060917,0.142290086743265,0.290964837896479,0.141786922573439,0.0503443890256851,2.15554968217745,3.19350692448415,2.43611600477466,2.59344523362697,0.0792319360137314,1159.69193766056,1121.63730919832,101,v7.4.6,gap_tied_weak_links_phase3_seed,/Users/asewaket/Documents/LTSpice Superconducting Circuit/matlab_v7_4_6_files/outputs/v7_4_6_as006_gap_weaklink_v800_phase3_seed_101/AS006_v7_4_6_gap_weaklink_scores.csv
AS006,contact_relaxed_a3_3_g0_1_p0_3,"contact-relaxed SNS links, alpha=3.3, tau=0.1, p=0.3",contact_relaxation,contact_relaxed,conductance,3.3,1,0.1,0.3,0.72980392156863,0.1,0.300217864923747,6.78176891781274e-08,5.16346738454357e-07,0.0441433197252112,95.8624545798257,0.186043003601972,0.16791676577481,0.306693207631206,0.14059678342677,0.0498391595969783,0.95699316824161,1.41396388440295,1.00779372215595,1.23481872854396,0.0638395323522396,676.102105756585,652.378200937612,101,v7.4.6,gap_tied_weak_links_phase3_seed,/Users/asewaket/Documents/LTSpice Superconducting Circuit/matlab_v7_4_6_files/outputs/v7_4_6_as006_gap_weaklink_v800_phase3_seed_101/AS006_v7_4_6_gap_weaklink_scores.csv
AS006,anisotropic_gap_control,"anisotropic weak-link transparency",anisotropic,anisotropic,conductance,3.7,0,0.01,0.08,0.920627450980392,0.01,0.0801742919389978,1.13520511578403e-08,4.18055747769115e-07,0.127069027905173,159.093472801799,0.188659932324155,0.202960417716461,0.25961113044312,0.190595673590631,0.047775173640564,0.198438529927519,0.171968861682368,0.2117159215198,0.32249901961581,0.046597150775816,299.121842026159,295.04219203116,101,v7.4.6,gap_tied_weak_links_phase3_seed,/Users/asewaket/Documents/LTSpice Superconducting Circuit/matlab_v7_4_6_files/outputs/v7_4_6_as006_gap_weaklink_v800_phase3_seed_101/AS006_v7_4_6_gap_weaklink_scores.csv
AS006,contact_relaxed_a3_7_g0_1_p0_3,"contact-relaxed SNS links, alpha=3.7, tau=0.1, p=0.3",contact_relaxation,contact_relaxed,conductance,3.7,0,0.1,0.3,0.72980392156863,0.1,0.300217864923747,7.60380151391126e-08,5.7893422190337e-07,0.0494940251464489,95.8624545798257,0.189012114851871,0.176513510201061,0.310185089638345,0.140361634119976,0.0502711145412229,0.946158367420371,1.38812769665332,0.996299941663809,1.2281732412654,0.0639226909551153,674.149589733982,651.5695344827,101,v7.4.6,gap_tied_weak_links_phase3_seed,/Users/asewaket/Documents/LTSpice Superconducting Circuit/matlab_v7_4_6_files/outputs/v7_4_6_as006_gap_weaklink_v800_phase3_seed_101/AS006_v7_4_6_gap_weaklink_scores.csv
AS006,crack_tunnel_a3_3_g0_05_p0_3,"tunnel/crack-like links, alpha=3.3, tau=0.05, p=0.3",tear_lane,crack_tunnel,conductance,3.3,1,0.05,0.3,0.714793028322442,0.05,0.300217864923747,6.43778256743061e-08,4.78580648753317e-07,0.0815570698037585,86.7936274841479,0.189028271267381,0.205022347376954,0.262337034870847,0.180074088212976,0.0559365876697467,0.226443699303264,0.205068839108896,0.241786514957904,0.244540204193331,0.198348000989427,239.805264396133,303.543190901614,101,v7.4.6,gap_tied_weak_links_phase3_seed,/Users/asewaket/Documents/LTSpice Superconducting Circuit/matlab_v7_4_6_files/outputs/v7_4_6_as006_gap_weaklink_v800_phase3_seed_101/AS006_v7_4_6_gap_weaklink_scores.csv
AS006,crack_tunnel_a3_3_g0_1_p0_3,"tunnel/crack-like links, alpha=3.3, tau=0.1, p=0.3",tear_lane,crack_tunnel,conductance,3.3,1,0.1,0.3,0.72980392156863,0.1,0.300217864923747,1.16575045867667e-07,4.33305726742354e-07,0.0815570698037585,95.8624545798257,0.190231371547769,0.209932006326029,0.262507751840516,0.182641170095274,0.0535348230728239,0.204569136594537,0.201029332255949,0.246784216683206,0.213963587207127,0.122489487512215,241.383397724097,278.387242394622,101,v7.4.6,gap_tied_weak_links_phase3_seed,/Users/asewaket/Documents/LTSpice Superconducting Circuit/matlab_v7_4_6_files/outputs/v7_4_6_as006_gap_weaklink_v800_phase3_seed_101/AS006_v7_4_6_gap_weaklink_scores.csv
AS006,contact_relaxed_a4_1_g0_1_p0_3,"contact-relaxed SNS links, alpha=4.1, tau=0.1, p=0.3",contact_relaxation,contact_relaxed,conductance,4.1,0.999999999999997,0.1,0.3,0.72980392156863,0.1,0.300217864923747,8.42583411000977e-08,6.41521705352383e-07,0.0548447305676866,95.8624545798257,0.190586275353137,0.183105205397788,0.310903187098081,0.141024634391322,0.0494648009571062,0.936079229377886,1.36047962245425,0.987049078015539,1.22294375003374,0.0639009503658088,671.616240572585,646.964382414343,101,v7.4.6,gap_tied_weak_links_phase3_seed,/Users/asewaket/Documents/LTSpice Superconducting Circuit/matlab_v7_4_6_files/outputs/v7_4_6_as006_gap_weaklink_v800_phase3_seed_101/AS006_v7_4_6_gap_weaklink_scores.csv
