artifact_id,path,required,purpose,exists,file_size_bytes,modified_datenum,release_role
phase9_final_model_specification,/private/tmp/LTSpice-Superconducting-Circuit-phase10-clean-48fbfb8/matlab_v8_0/outputs/v8_0_phase5_transfer_plan/phase9_final_model_specification.csv,1,"canonical final model specification",1,2020,740193.65181713,frozen_release_input
phase9_final_device_conclusion_ledger,/private/tmp/LTSpice-Superconducting-Circuit-phase10-clean-48fbfb8/matlab_v8_0/outputs/v8_0_phase5_transfer_plan/phase9_final_device_conclusion_ledger.csv,1,"six-device conclusion ledger",1,4012,740193.65181713,frozen_release_input
phase9_claim_hierarchy,/private/tmp/LTSpice-Superconducting-Circuit-phase10-clean-48fbfb8/matlab_v8_0/outputs/v8_0_phase5_transfer_plan/phase9_claim_hierarchy.csv,1,"permitted, required, and prohibited claims",1,3288,740193.65181713,frozen_release_input
phase9_model_limitations,/private/tmp/LTSpice-Superconducting-Circuit-phase10-clean-48fbfb8/matlab_v8_0/outputs/v8_0_phase5_transfer_plan/phase9_model_limitations.csv,1,"final limitation ledger",1,1140,740193.65181713,frozen_release_input
phase9_evidence_hierarchy,/private/tmp/LTSpice-Superconducting-Circuit-phase10-clean-48fbfb8/matlab_v8_0/outputs/v8_0_phase5_transfer_plan/phase9_evidence_hierarchy.csv,1,"evidence hierarchy",1,1264,740193.65181713,frozen_release_input
phase9_raman_registration_disposition,/private/tmp/LTSpice-Superconducting-Circuit-phase10-clean-48fbfb8/matlab_v8_0/outputs/v8_0_phase5_transfer_plan/phase9_raman_registration_disposition.csv,1,"registered Raman missingness disposition",1,1046,740193.65181713,frozen_release_input
phase9_gate_summary,/private/tmp/LTSpice-Superconducting-Circuit-phase10-clean-48fbfb8/matlab_v8_0/outputs/v8_0_phase5_transfer_plan/phase9_gate_summary.csv,1,"Phase 9 gates",1,1250,740193.65181713,frozen_release_input
phase9_handoff_status,/private/tmp/LTSpice-Superconducting-Circuit-phase10-clean-48fbfb8/matlab_v8_0/outputs/v8_0_phase5_transfer_plan/phase9_handoff_status.csv,1,"Phase 9 closure status",1,1198,740193.65181713,frozen_release_input
phase9_source_provenance_checkpoint,/private/tmp/LTSpice-Superconducting-Circuit-phase10-clean-48fbfb8/matlab_v8_0/outputs/v8_0_phase5_transfer_plan/phase9_source_provenance_checkpoint.csv,1,"Phase 9 source provenance",1,942,740193.65181713,frozen_release_input
phase9_final_table_manifest,/private/tmp/LTSpice-Superconducting-Circuit-phase10-clean-48fbfb8/matlab_v8_0/outputs/v8_0_phase5_transfer_plan/phase9_final_table_manifest.csv,1,"final table manifest",1,2403,740193.65181713,frozen_release_input
phase9_final_figure_manifest,/private/tmp/LTSpice-Superconducting-Circuit-phase10-clean-48fbfb8/matlab_v8_0/outputs/v8_0_phase5_transfer_plan/phase9_final_figure_manifest.csv,1,"final figure manifest",1,1292,740193.65181713,frozen_release_input
phase9_final_model_package_summary_png,/private/tmp/LTSpice-Superconducting-Circuit-phase10-clean-48fbfb8/matlab_v8_0/outputs/v8_0_phase5_transfer_plan/phase9_final_model_package_summary.png,1,"final model package summary figure",1,180047,740193.65181713,frozen_release_input
phase9_final_model_package_summary_pdf,/private/tmp/LTSpice-Superconducting-Circuit-phase10-clean-48fbfb8/matlab_v8_0/outputs/v8_0_phase5_transfer_plan/phase9_final_model_package_summary.pdf,1,"final model package summary PDF",1,24892,740193.65181713,frozen_release_input
phase8B_status_stability_summary,/private/tmp/LTSpice-Superconducting-Circuit-phase10-clean-48fbfb8/matlab_v8_0/outputs/v8_0_phase5_transfer_plan/phase8B_status_stability_summary.csv,1,"numerical replay stability context",1,1316,740193.65181713,frozen_release_input
phase8B_gate_summary,/private/tmp/LTSpice-Superconducting-Circuit-phase10-clean-48fbfb8/matlab_v8_0/outputs/v8_0_phase5_transfer_plan/phase8B_gate_summary.csv,1,"Phase 8B numerical replay gates",1,927,740193.65181713,frozen_release_input
README,/private/tmp/LTSpice-Superconducting-Circuit-phase10-clean-48fbfb8/README.md,1,"repository-level release overview",1,9450,740193.65181713,frozen_release_input
matlab_v8_0_README,/private/tmp/LTSpice-Superconducting-Circuit-phase10-clean-48fbfb8/matlab_v8_0/README.md,1,"v8 MATLAB release overview",1,27127,740193.65181713,frozen_release_input
