device,lambda_b_um,boundary_amplitude,coverage_transfer_amplitude,boundary_gradient_proxy,boundary_rank_context,raman_used_as_input
AS001,1,0,0,0,low,0
AS001,3,0,0,0,low,0
AS001,6,0,0,0,low,0
AS002,1,0.25,0.35,0.3325,intermediate,0
AS002,3,0.25,0.35,0.3625,intermediate,0
AS002,6,0.25,0.35,0.3925,intermediate,0
AS003,1,0.05,0.25,0.0935,low,0
AS003,3,0.05,0.25,0.0995,low,0
AS003,6,0.05,0.25,0.1055,low,0
AS004,1,0.45,0.55,0.5865,high,0
AS004,3,0.45,0.55,0.6405,high,0
AS004,6,0.45,0.55,0.6945,high,0
AS005,1,0.35,0.7,0.497,intermediate,0
AS005,3,0.35,0.7,0.539,intermediate,0
AS005,6,0.35,0.7,0.581,high,0
AS006,1,0.8,0.9,1,high,0
AS006,3,0.8,0.9,1,high,0
AS006,6,0.8,0.9,1,high,0
