device,lambda_c_um,crack_amplitude,crack_relaxation_proxy,crack_context_status,raman_used_as_input
AS001,0.5,0,0,not_applicable,0
AS001,1.5,0,0,not_applicable,0
AS001,4,0,0,not_applicable,0
AS002,0.5,0,0,not_applicable,0
AS002,1.5,0,0,not_applicable,0
AS002,4,0,0,not_applicable,0
AS003,0.5,0,0,not_applicable,0
AS003,1.5,0,0,not_applicable,0
AS003,4,0,0,not_applicable,0
AS004,0.5,0,0,not_applicable,0
AS004,1.5,0,0,not_applicable,0
AS004,4,0,0,not_applicable,0
AS005,0.5,0.85,0.935,crack_proxy_active,0
AS005,1.5,0.85,1,crack_proxy_active,0
AS005,4,0.85,1,crack_proxy_active,0
AS006,0.5,0,0,not_applicable,0
AS006,1.5,0,0,not_applicable,0
AS006,4,0,0,not_applicable,0
