device,scenario,mechanical_proxy_nominal,mechanical_proxy_variant,absolute_change,interpretation
AS001,transfer_length_low,0,0,0,low_sensitivity
AS001,transfer_length_high,0,0,0,low_sensitivity
AS001,boundary_length_low,0,0,0,low_sensitivity
AS001,boundary_length_high,0,0,0,low_sensitivity
AS001,crack_length_low,0,0,0,low_sensitivity
AS001,crack_length_high,0,0,0,low_sensitivity
AS001,through_thickness_low,0,0,0,low_sensitivity
AS001,through_thickness_high,0,0,0,low_sensitivity
AS002,transfer_length_low,0.6,0.51,0.09,moderate_sensitivity
AS002,transfer_length_high,0.6,0.69,0.09,moderate_sensitivity
AS002,boundary_length_low,0.6,0.51,0.09,moderate_sensitivity
AS002,boundary_length_high,0.6,0.69,0.09,moderate_sensitivity
AS002,crack_length_low,0.6,0.51,0.09,moderate_sensitivity
AS002,crack_length_high,0.6,0.69,0.09,moderate_sensitivity
AS002,through_thickness_low,0.6,0.51,0.09,moderate_sensitivity
AS002,through_thickness_high,0.6,0.69,0.09,moderate_sensitivity
AS003,transfer_length_low,0.3,0.255,0.045,low_sensitivity
AS003,transfer_length_high,0.3,0.345,0.045,low_sensitivity
AS003,boundary_length_low,0.3,0.255,0.045,low_sensitivity
AS003,boundary_length_high,0.3,0.345,0.045,low_sensitivity
AS003,crack_length_low,0.3,0.255,0.045,low_sensitivity
AS003,crack_length_high,0.3,0.345,0.045,low_sensitivity
AS003,through_thickness_low,0.3,0.255,0.045,low_sensitivity
AS003,through_thickness_high,0.3,0.345,0.045,low_sensitivity
AS004,transfer_length_low,1,0.85,0.15,high_sensitivity
AS004,transfer_length_high,1,1.15,0.15,moderate_sensitivity
AS004,boundary_length_low,1,0.85,0.15,high_sensitivity
AS004,boundary_length_high,1,1.15,0.15,moderate_sensitivity
AS004,crack_length_low,1,0.85,0.15,high_sensitivity
AS004,crack_length_high,1,1.15,0.15,moderate_sensitivity
AS004,through_thickness_low,1,0.85,0.15,high_sensitivity
AS004,through_thickness_high,1,1.15,0.15,moderate_sensitivity
AS005,transfer_length_low,1.9,1.615,0.285,high_sensitivity
AS005,transfer_length_high,1.9,2.185,0.285,high_sensitivity
AS005,boundary_length_low,1.9,1.615,0.285,high_sensitivity
AS005,boundary_length_high,1.9,2.185,0.285,high_sensitivity
AS005,crack_length_low,1.9,1.615,0.285,high_sensitivity
AS005,crack_length_high,1.9,2.185,0.285,high_sensitivity
AS005,through_thickness_low,1.9,1.615,0.285,high_sensitivity
AS005,through_thickness_high,1.9,2.185,0.285,high_sensitivity
AS006,transfer_length_low,1.7,1.445,0.255,high_sensitivity
AS006,transfer_length_high,1.7,1.955,0.255,high_sensitivity
AS006,boundary_length_low,1.7,1.445,0.255,high_sensitivity
AS006,boundary_length_high,1.7,1.955,0.255,high_sensitivity
AS006,crack_length_low,1.7,1.445,0.255,high_sensitivity
AS006,crack_length_high,1.7,1.955,0.255,high_sensitivity
AS006,through_thickness_low,1.7,1.445,0.255,high_sensitivity
AS006,through_thickness_high,1.7,1.955,0.255,high_sensitivity
