parameter,parameter_role,device_specific_allowed,used_for_calibration,rule
geometry,measured_input,1,1,predeclared_before_RT_residuals
probe_configuration,measured_input,1,1,predeclared_before_RT_residuals
measured_RN,measured_input,1,1,predeclared_before_RT_residuals
beta0,shared_constitutive,0,1,predeclared_before_RT_residuals
beta_cov,shared_constitutive,0,1,predeclared_before_RT_residuals
beta_z,shared_constitutive,0,1,predeclared_before_RT_residuals
beta_boundary_Tc_optional,shared_constitutive_optional_weak,0,1,predeclared_before_RT_residuals
beta_crack_Tc_optional,shared_constitutive_optional_weak,0,1,predeclared_before_RT_residuals
Tc_base,shared_constitutive,0,1,predeclared_before_RT_residuals
DeltaTc_max,shared_constitutive,0,1,predeclared_before_RT_residuals
gamma0,shared_constitutive,0,1,predeclared_before_RT_residuals
gamma_boundary,shared_constitutive,0,1,predeclared_before_RT_residuals
gamma_crack,shared_constitutive,0,1,predeclared_before_RT_residuals
gamma_coverage,shared_constitutive,0,1,predeclared_before_RT_residuals
sigma_Tc_disorder,shared_nuisance,0,1,predeclared_before_RT_residuals
disorder_seed_set,shared_nuisance,0,1,predeclared_before_RT_residuals
G_shunt_global,shared_nuisance,0,1,predeclared_before_RT_residuals
device_specific_Tc_gain,prohibited_device_specific,0,0,not_allowed
device_specific_weak_link_strength,prohibited_device_specific,0,0,not_allowed
phase6_status_label,prohibited_training_target,0,0,interpretation_only_not_training
phase12C_raman_prediction,qualitative_independent_check_only,0,0,not_used_to_fit_transport
