device,removed_component,delta_Tc_support_K,delta_W_support,interpretation,experimental_residuals_used
AS001,coverage,0,0,minor_or_shared_channel,0
AS001,boundary,0,0,mostly_connectivity_channel,0
AS001,crack,0,0,mostly_connectivity_channel,0
AS002,coverage,0.168603187396646,0.0209937553864908,mostly_local_Tc_channel,0
AS002,boundary,0,0.0887781799776205,mostly_connectivity_channel,0
AS002,crack,0,0,mostly_connectivity_channel,0
AS003,coverage,0.121610473273488,0.015557160432501,mostly_local_Tc_channel,0
AS003,boundary,0,0.0247917426136045,mostly_connectivity_channel,0
AS003,crack,0,0,mostly_connectivity_channel,0
AS004,coverage,0.25868940372583,0.0303824306164379,mostly_local_Tc_channel,0
AS004,boundary,0,0.150927964489432,mostly_connectivity_channel,0
AS004,crack,0,0,mostly_connectivity_channel,0
AS005,coverage,0.322231010625052,0.0243853048351407,mostly_local_Tc_channel,0
AS005,boundary,0,0.0844115323894936,mostly_connectivity_channel,0
AS005,crack,0,0.173246359120425,required_crack_removal_test,0
AS006,coverage,0.400852216565279,0.0418836807667337,mostly_local_Tc_channel,0
AS006,boundary,0,0.216928368852119,required_boundary_removal_test,0
AS006,crack,0,0,mostly_connectivity_channel,0
