heldout_device,parameter,fit_status,estimated_value,lower_interval,upper_interval
AS001,beta0,not_run_pending_full_RT_solver,NaN,NaN,NaN
AS001,beta_cov,not_run_pending_full_RT_solver,NaN,NaN,NaN
AS001,beta_z,not_run_pending_full_RT_solver,NaN,NaN,NaN
AS001,beta_boundary_Tc_optional,not_run_pending_full_RT_solver,NaN,NaN,NaN
AS001,beta_crack_Tc_optional,not_run_pending_full_RT_solver,NaN,NaN,NaN
AS001,Tc_base,not_run_pending_full_RT_solver,NaN,NaN,NaN
AS001,DeltaTc_max,not_run_pending_full_RT_solver,NaN,NaN,NaN
AS001,gamma0,not_run_pending_full_RT_solver,NaN,NaN,NaN
AS001,gamma_boundary,not_run_pending_full_RT_solver,NaN,NaN,NaN
AS001,gamma_crack,not_run_pending_full_RT_solver,NaN,NaN,NaN
AS001,gamma_coverage,not_run_pending_full_RT_solver,NaN,NaN,NaN
AS001,sigma_Tc_disorder,not_run_pending_full_RT_solver,NaN,NaN,NaN
AS001,disorder_seed_set,not_run_pending_full_RT_solver,NaN,NaN,NaN
AS001,G_shunt_global,not_run_pending_full_RT_solver,NaN,NaN,NaN
AS002,beta0,not_run_pending_full_RT_solver,NaN,NaN,NaN
AS002,beta_cov,not_run_pending_full_RT_solver,NaN,NaN,NaN
AS002,beta_z,not_run_pending_full_RT_solver,NaN,NaN,NaN
AS002,beta_boundary_Tc_optional,not_run_pending_full_RT_solver,NaN,NaN,NaN
AS002,beta_crack_Tc_optional,not_run_pending_full_RT_solver,NaN,NaN,NaN
AS002,Tc_base,not_run_pending_full_RT_solver,NaN,NaN,NaN
AS002,DeltaTc_max,not_run_pending_full_RT_solver,NaN,NaN,NaN
AS002,gamma0,not_run_pending_full_RT_solver,NaN,NaN,NaN
AS002,gamma_boundary,not_run_pending_full_RT_solver,NaN,NaN,NaN
AS002,gamma_crack,not_run_pending_full_RT_solver,NaN,NaN,NaN
AS002,gamma_coverage,not_run_pending_full_RT_solver,NaN,NaN,NaN
AS002,sigma_Tc_disorder,not_run_pending_full_RT_solver,NaN,NaN,NaN
AS002,disorder_seed_set,not_run_pending_full_RT_solver,NaN,NaN,NaN
AS002,G_shunt_global,not_run_pending_full_RT_solver,NaN,NaN,NaN
AS003,beta0,not_run_pending_full_RT_solver,NaN,NaN,NaN
AS003,beta_cov,not_run_pending_full_RT_solver,NaN,NaN,NaN
AS003,beta_z,not_run_pending_full_RT_solver,NaN,NaN,NaN
AS003,beta_boundary_Tc_optional,not_run_pending_full_RT_solver,NaN,NaN,NaN
AS003,beta_crack_Tc_optional,not_run_pending_full_RT_solver,NaN,NaN,NaN
AS003,Tc_base,not_run_pending_full_RT_solver,NaN,NaN,NaN
AS003,DeltaTc_max,not_run_pending_full_RT_solver,NaN,NaN,NaN
AS003,gamma0,not_run_pending_full_RT_solver,NaN,NaN,NaN
AS003,gamma_boundary,not_run_pending_full_RT_solver,NaN,NaN,NaN
AS003,gamma_crack,not_run_pending_full_RT_solver,NaN,NaN,NaN
AS003,gamma_coverage,not_run_pending_full_RT_solver,NaN,NaN,NaN
