parameter,parameter_role,allowed_for_optimization,device_specific_allowed,fit_scope,prohibited_reason
geometry,measured_input,0,1,measured_input_not_optimized,
probe_configuration,measured_input,0,1,measured_input_not_optimized,
measured_RN,measured_input,0,1,measured_input_not_optimized,
beta0,shared_constitutive,1,0,shared_global_candidate,
beta_cov,shared_constitutive,1,0,shared_global_candidate,
beta_z,shared_constitutive,1,0,shared_global_candidate,
beta_boundary_Tc_optional,shared_constitutive_optional_weak,1,0,shared_global_candidate,
beta_crack_Tc_optional,shared_constitutive_optional_weak,1,0,shared_global_candidate,
Tc_base,shared_constitutive,1,0,shared_global_candidate,
DeltaTc_max,shared_constitutive,1,0,shared_global_candidate,
gamma0,shared_constitutive,1,0,shared_global_candidate,
gamma_boundary,shared_constitutive,1,0,shared_global_candidate,
gamma_crack,shared_constitutive,1,0,shared_global_candidate,
gamma_coverage,shared_constitutive,1,0,shared_global_candidate,
sigma_Tc_disorder,shared_nuisance,1,0,shared_global_candidate,
disorder_seed_set,shared_nuisance,1,0,shared_global_candidate,
G_shunt_global,shared_nuisance,1,0,shared_global_candidate,
device_specific_Tc_gain,prohibited_device_specific,0,0,not_fit,device_specific_mechanism_parameter
device_specific_weak_link_strength,prohibited_device_specific,0,0,not_fit,device_specific_mechanism_parameter
phase6_status_label,prohibited_training_target,0,0,not_fit,interpretive_label_not_target
phase12C_raman_prediction,qualitative_independent_check_only,0,0,not_fit,not_transport_target
