device,probe_role,metric,threshold_Rtilde,observed_crosses,predicted_crosses,T_metric_predicted_K,T_metric_observed_K,numerical_error_K,T_comparison_status,note
AS001,primary,T90,0.9,0,0,NaN,NaN,NaN,neither_crosses,Correctly predicts censored/non-crossing behavior for this threshold.
AS001,primary,T50,0.5,0,0,NaN,NaN,NaN,neither_crosses,Correctly predicts censored/non-crossing behavior for this threshold.
AS001,primary,T10,0.1,0,0,NaN,NaN,NaN,neither_crosses,Correctly predicts censored/non-crossing behavior for this threshold.
AS001,secondary,T90,0.9,0,0,NaN,NaN,NaN,neither_crosses,Correctly predicts censored/non-crossing behavior for this threshold.
AS001,secondary,T50,0.5,0,0,NaN,NaN,NaN,neither_crosses,Correctly predicts censored/non-crossing behavior for this threshold.
AS001,secondary,T10,0.1,0,0,NaN,NaN,NaN,neither_crosses,Correctly predicts censored/non-crossing behavior for this threshold.
AS002,primary,T90,0.9,0,0,NaN,NaN,NaN,neither_crosses,Correctly predicts censored/non-crossing behavior for this threshold.
AS002,primary,T50,0.5,0,0,NaN,NaN,NaN,neither_crosses,Correctly predicts censored/non-crossing behavior for this threshold.
AS002,primary,T10,0.1,0,0,NaN,NaN,NaN,neither_crosses,Correctly predicts censored/non-crossing behavior for this threshold.
AS003,primary,T90,0.9,0,0,NaN,NaN,NaN,neither_crosses,Correctly predicts censored/non-crossing behavior for this threshold.
AS003,primary,T50,0.5,0,0,NaN,NaN,NaN,neither_crosses,Correctly predicts censored/non-crossing behavior for this threshold.
AS003,primary,T10,0.1,0,0,NaN,NaN,NaN,neither_crosses,Correctly predicts censored/non-crossing behavior for this threshold.
AS004,primary,T90,0.9,1,0,NaN,0.28964257619556,NaN,observed_cross_predicted_no_cross,Categorical prediction failure for this transition threshold.
AS004,primary,T50,0.5,1,0,NaN,0.228018287884999,NaN,observed_cross_predicted_no_cross,Categorical prediction failure for this transition threshold.
AS004,primary,T10,0.1,1,0,NaN,0.17524274694046,NaN,observed_cross_predicted_no_cross,Categorical prediction failure for this transition threshold.
AS004,secondary,T90,0.9,1,0,NaN,0.409491992248819,NaN,observed_cross_predicted_no_cross,Categorical prediction failure for this transition threshold.
AS004,secondary,T50,0.5,1,0,NaN,0.244885944807576,NaN,observed_cross_predicted_no_cross,Categorical prediction failure for this transition threshold.
AS004,secondary,T10,0.1,1,0,NaN,0.169747702429291,NaN,observed_cross_predicted_no_cross,Categorical prediction failure for this transition threshold.
AS005,primary,T90,0.9,1,1,3.99757225007901,1.4912748622487,2.50629738783031,both_cross,Numerical threshold error can be interpreted.
AS005,primary,T50,0.5,1,1,3.74877790674691,0.983134387351779,2.76564351939513,both_cross,Numerical threshold error can be interpreted.
AS005,primary,T10,0.1,1,0,NaN,0.771634931186219,NaN,observed_cross_predicted_no_cross,Categorical prediction failure for this transition threshold.
AS006,primary,T90,0.9,1,0,NaN,0.325055716144822,NaN,observed_cross_predicted_no_cross,Categorical prediction failure for this transition threshold.
AS006,primary,T50,0.5,1,0,NaN,0.131003401702494,NaN,observed_cross_predicted_no_cross,Categorical prediction failure for this transition threshold.
AS006,primary,T10,0.1,0,0,NaN,NaN,NaN,neither_crosses,Correctly predicts censored/non-crossing behavior for this threshold.
AS006,secondary,T90,0.9,1,0,NaN,0.251268566586107,NaN,observed_cross_predicted_no_cross,Categorical prediction failure for this transition threshold.
AS006,secondary,T50,0.5,1,0,NaN,0.137769554984506,NaN,observed_cross_predicted_no_cross,Categorical prediction failure for this transition threshold.
AS006,secondary,T10,0.1,0,0,NaN,NaN,NaN,neither_crosses,Correctly predicts censored/non-crossing behavior for this threshold.
