device,temperature_region,temperature_min_K,temperature_max_K,n_points,region_mse,region_bias,region_mae,dominance_role
AS001,lowT,0.0602,0.2402,10,0.767421892434228,-0.875967375354841,0.875967375354841,secondary_region
AS001,transition,0.2599,0.5004,13,0.784236359906013,-0.885567402681428,0.885567402681428,secondary_region
AS001,onset,0.5207,0.6796,9,0.791544399303885,-0.889685458059513,0.889685458059513,dominant_failure_region
AS001,normal,0.7001,0.8005,6,0.789461423309164,-0.888511725673233,0.888511725673233,secondary_region
AS002,lowT,0.0483,0.28,13,0.804240654268261,-0.896583411931547,0.896583411931547,secondary_region
AS002,transition,0.3005,0.6006,16,0.825360249445639,-0.908488585143206,0.908488585143206,secondary_region
AS002,onset,0.6203,0.8178,12,0.827095590854552,-0.909438972971696,0.909438972971696,secondary_region
AS002,normal,0.8611,1.0007,8,0.827483498087028,-0.909659795118978,0.909659795118978,dominant_failure_region
AS003,lowT,0.0482,0.2602,12,0.823251148754841,-0.907328863085142,0.907328863085142,dominant_failure_region
AS003,transition,0.2798,0.5804,16,0.813304185626237,-0.901833064280164,0.901833064280164,secondary_region
AS003,onset,0.599,0.7987,12,0.808190949895054,-0.898994127370455,0.898994127370455,secondary_region
AS003,normal,0.8418,0.9612,7,0.804493317140061,-0.896935272647737,0.896935272647737,secondary_region
AS004,lowT,0.06,0.2599,11,0.0858751253377956,-0.10979794931736,0.188325081406773,secondary_region
AS004,transition,0.2796,0.5408,14,0.783418719870863,-0.884548237276367,0.884548237276367,secondary_region
AS004,onset,0.5608,0.7407,10,0.835300204527557,-0.913852114690168,0.913852114690168,secondary_region
AS004,normal,0.7601,0.8805,7,0.85793104524373,-0.926206788785475,0.926206788785475,dominant_failure_region
AS005,lowT,0.049,1.14,45,0.0553795024047477,-0.0685748248451185,0.200973081991419,secondary_region
AS005,transition,1.1554,2.665,46,0.549467893911976,-0.736577457027368,0.736577457027368,secondary_region
AS005,onset,2.687,3.678,18,0.607025330515036,-0.777483671210538,0.777483671210538,dominant_failure_region
AS005,normal,3.773,4.429,11,0.0332896915457337,-0.0866298175486558,0.108546530750014,secondary_region
AS006,lowT,0.048,0.2804,13,0.345087890698028,-0.522791226785085,0.522791226785085,secondary_region
AS006,transition,0.2998,0.6196,17,0.800809429229306,-0.894181271114295,0.894181271114295,secondary_region
AS006,onset,0.6394,0.8437,11,0.876468256411149,-0.936197218318876,0.936197218318876,secondary_region
AS006,normal,0.8603,1.001,8,0.882063487374638,-0.939181732069974,0.939181732069974,dominant_failure_region
