variant_id,case_id,finite_curve,monotonic_non_decreasing,bounded_0_to_1p5,curve_span_positive,outcome,minimum_pass_fraction,experimental_residuals_used
F0,zero_reference,1,1,1,1,pass,1,0
F0,normal_baseline_slope,1,1,1,1,pass,1,0
F0,lowT_residual_shunt,1,1,1,1,pass,1,0
F0,low_transfer_interface,1,1,1,1,pass,1,0
F0,high_transfer_interface,1,1,1,1,pass,1,0
F0,combined_shunt_low_transfer,1,1,1,1,pass,1,0
F0,combined_baseline_high_transfer,1,1,1,1,pass,1,0
F0,near_tie_transfer,1,1,1,1,pass,1,0
FB,zero_reference,1,1,1,1,pass,1,0
FB,normal_baseline_slope,1,1,1,1,pass,1,0
FB,lowT_residual_shunt,1,1,1,1,pass,1,0
FB,low_transfer_interface,1,1,1,1,pass,1,0
FB,high_transfer_interface,1,1,1,1,pass,1,0
FB,combined_shunt_low_transfer,1,1,1,1,pass,1,0
FB,combined_baseline_high_transfer,1,1,1,1,pass,1,0
FB,near_tie_transfer,1,1,1,1,pass,1,0
FI,zero_reference,1,1,1,1,pass,1,0
FI,normal_baseline_slope,1,1,1,1,pass,1,0
FI,lowT_residual_shunt,1,1,1,1,pass,1,0
FI,low_transfer_interface,1,1,1,1,pass,1,0
FI,high_transfer_interface,1,1,1,1,pass,1,0
FI,combined_shunt_low_transfer,1,1,1,1,pass,1,0
FI,combined_baseline_high_transfer,1,1,1,1,pass,1,0
FI,near_tie_transfer,1,1,1,1,pass,1,0
FBI,zero_reference,1,1,1,1,pass,1,0
FBI,normal_baseline_slope,1,1,1,1,pass,1,0
FBI,lowT_residual_shunt,1,1,1,1,pass,1,0
FBI,low_transfer_interface,1,1,1,1,pass,1,0
FBI,high_transfer_interface,1,1,1,1,pass,1,0
FBI,combined_shunt_low_transfer,1,1,1,1,pass,1,0
FBI,combined_baseline_high_transfer,1,1,1,1,pass,1,0
FBI,near_tie_transfer,1,1,1,1,pass,1,0
