variant_id,case_id,baseline_shunt_upgrade,interface_transfer_upgrade,normal_state_mean,lowT_mean,transition_midpoint,curve_min,curve_max,curve_span,effective_tau,finite_curve,monotonic_non_decreasing,bounded_0_to_1p5,experimental_residuals_used
F0,zero_reference,0,0,0.994254072582968,0.00574592741703231,0.5,0.00192673466332748,0.998073265336673,0.996146530673345,1,1,1,1,0
F0,normal_baseline_slope,0,0,0.994254072582968,0.00574592741703231,0.5,0.00192673466332748,0.998073265336673,0.996146530673345,1,1,1,1,0
F0,lowT_residual_shunt,0,0,0.994254072582968,0.00574592741703231,0.5,0.00192673466332748,0.998073265336673,0.996146530673345,1,1,1,1,0
F0,low_transfer_interface,0,0,0.994254072582968,0.00574592741703231,0.5,0.00192673466332748,0.998073265336673,0.996146530673345,1,1,1,1,0
F0,high_transfer_interface,0,0,0.994254072582968,0.00574592741703231,0.5,0.00192673466332748,0.998073265336673,0.996146530673345,1,1,1,1,0
F0,combined_shunt_low_transfer,0,0,0.994254072582968,0.00574592741703231,0.5,0.00192673466332748,0.998073265336673,0.996146530673345,1,1,1,1,0
F0,combined_baseline_high_transfer,0,0,0.994254072582968,0.00574592741703231,0.5,0.00192673466332748,0.998073265336673,0.996146530673345,1,1,1,1,0
F0,near_tie_transfer,0,0,0.994254072582968,0.00574592741703231,0.5,0.00192673466332748,0.998073265336673,0.996146530673345,1,1,1,1,0
FB,zero_reference,1,0,0.994254072582968,0.00574592741703231,0.5,0.00192673466332748,0.998073265336673,0.996146530673345,1,1,1,1,0
FB,normal_baseline_slope,1,0,1.09620787192211,0.00491243038532324,0.53,0.00158955609724517,1.12283242350376,1.12124286740651,1,1,1,1,0
FB,lowT_residual_shunt,1,0,0.994828665324671,0.105171334675329,0.5,0.101734061196995,0.998265938803005,0.89653187760601,1,1,1,1,0
FB,low_transfer_interface,1,0,0.994254072582968,0.00574592741703231,0.5,0.00192673466332748,0.998073265336673,0.996146530673345,1,1,1,1,0
FB,high_transfer_interface,1,0,0.994254072582968,0.00574592741703231,0.5,0.00192673466332748,0.998073265336673,0.996146530673345,1,1,1,1,0
FB,combined_shunt_low_transfer,1,0,1.04195506752382,0.0850850332453271,0.51,0.0816858928304115,1.05312143370326,0.971435540872844,1,1,1,1,0
FB,combined_baseline_high_transfer,1,0,1.08908146972296,0.0649987318153252,0.52,0.0616377244638284,1.10797692860351,1.04633920413968,1,1,1,1,0
FB,near_tie_transfer,1,0,0.994254072582968,0.00574592741703231,0.5,0.00192673466332748,0.998073265336673,0.996146530673345,1,1,1,1,0
FI,zero_reference,0,1,0.994254072582968,0.00574592741703231,0.5,0.00192673466332748,0.998073265336673,0.996146530673345,1,1,1,1,0
FI,normal_baseline_slope,0,1,0.994254072582968,0.00574592741703231,0.5,0.00192673466332748,0.998073265336673,0.996146530673345,1,1,1,1,0
FI,lowT_residual_shunt,0,1,0.994254072582968,0.00574592741703231,0.5,0.00192673466332748,0.998073265336673,0.996146530673345,1,1,1,1,0
FI,low_transfer_interface,0,1,0.961389692956596,0.0103989705507421,0.57,0.0047455344317622,0.982013790037908,0.977268255606146,0.55,1,1,1,0
FI,high_transfer_interface,0,1,0.987606226569754,0.00727427246088023,0.53,0.00276584212721496,0.995266353731645,0.99250051160443,0.85,1,1,1,0
FI,combined_shunt_low_transfer,0,1,0.961389692956596,0.0103989705507421,0.57,0.0047455344317622,0.982013790037908,0.977268255606146,0.55,1,1,1,0
FI,combined_baseline_high_transfer,0,1,0.980957639571696,0.00831328567830348,0.54,0.00338770025782406,0.992171346273834,0.98878364601601,0.75,1,1,1,0
FI,near_tie_transfer,0,1,0.992434738736529,0.00624951197646434,0.51,0.00219257875608217,0.997342506448632,0.99514992769255,0.95,1,1,1,0
FBI,zero_reference,1,1,0.994254072582968,0.00574592741703231,0.5,0.00192673466332748,0.998073265336673,0.996146530673345,1,1,1,1,0
FBI,normal_baseline_slope,1,1,1.09620787192211,0.00491243038532324,0.53,0.00158955609724517,1.12283242350376,1.12124286740651,1,1,1,1,0
FBI,lowT_residual_shunt,1,1,0.994828665324671,0.105171334675329,0.5,0.101734061196995,0.998265938803005,0.89653187760601,1,1,1,1,0
FBI,low_transfer_interface,1,1,0.961389692956596,0.0103989705507421,0.57,0.0047455344317622,0.982013790037908,0.977268255606146,0.55,1,1,1,0
FBI,high_transfer_interface,1,1,0.987606226569754,0.00727427246088023,0.53,0.00276584212721496,0.995266353731645,0.99250051160443,0.85,1,1,1,0
FBI,combined_shunt_low_transfer,1,1,1.01021572399557,0.0891968102431118,0.58,0.0841523426277919,1.03746344528696,0.953311102659169,0.55,1,1,1,0
FBI,combined_baseline_high_transfer,1,1,1.0753710760382,0.0672262471063053,0.56,0.0628795452191505,1.10177991358753,1.03890036836838,0.75,1,1,1,0
FBI,near_tie_transfer,1,1,0.992434738736529,0.00624951197646434,0.51,0.00219257875608217,0.997342506448632,0.99514992769255,0.95,1,1,1,0
