variant_id,heldout_device,training_devices,n_training_devices,n_candidates_evaluated,selected_candidate_id,training_objective,heldout_data_excluded_from_calibration,shared_parameters_only,variant_retuning_performed,device_specific_mechanism_parameters,phase6_labels_used_as_targets,raman_used_as_transport_target,transport_relabeling_performed,fold_status,note
F0,AS001,AS002|AS003|AS004|AS005|AS006,5,1,F0_c001,1.08397121831209,1,1,0,0,0,0,0,completed,variant_selected_on_other_five_devices
F0,AS002,AS001|AS003|AS004|AS005|AS006,5,1,F0_c001,1.0461477059724,1,1,0,0,0,0,0,completed,variant_selected_on_other_five_devices
F0,AS003,AS001|AS002|AS004|AS005|AS006,5,1,F0_c001,1.04617467080521,1,1,0,0,0,0,0,completed,variant_selected_on_other_five_devices
F0,AS004,AS001|AS002|AS003|AS005|AS006,5,1,F0_c001,1.13898620930047,1,1,0,0,0,0,0,completed,variant_selected_on_other_five_devices
F0,AS005,AS001|AS002|AS003|AS004|AS006,5,1,F0_c001,0.632455691806366,1,1,0,0,0,0,0,completed,variant_selected_on_other_five_devices
F0,AS006,AS001|AS002|AS003|AS004|AS005,5,1,F0_c001,1.12409662390235,1,1,0,0,0,0,0,completed,variant_selected_on_other_five_devices
FB,AS001,AS002|AS003|AS004|AS005|AS006,5,9,FB_c009,1.05676870407253,1,1,0,0,0,0,0,completed,variant_selected_on_other_five_devices
FB,AS002,AS001|AS003|AS004|AS005|AS006,5,9,FB_c009,1.0208242218667,1,1,0,0,0,0,0,completed,variant_selected_on_other_five_devices
FB,AS003,AS001|AS002|AS004|AS005|AS006,5,9,FB_c009,1.02082505888903,1,1,0,0,0,0,0,completed,variant_selected_on_other_five_devices
FB,AS004,AS001|AS002|AS003|AS005|AS006,5,9,FB_c009,1.11289900375952,1,1,0,0,0,0,0,completed,variant_selected_on_other_five_devices
FB,AS005,AS001|AS002|AS003|AS004|AS006,5,9,FB_c009,0.598819903395235,1,1,0,0,0,0,0,completed,variant_selected_on_other_five_devices
FB,AS006,AS001|AS002|AS003|AS004|AS005,5,9,FB_c009,1.09581954692222,1,1,0,0,0,0,0,completed,variant_selected_on_other_five_devices
FI,AS001,AS002|AS003|AS004|AS005|AS006,5,5,FI_c005,1.07403980784673,1,1,0,0,0,0,0,completed,variant_selected_on_other_five_devices
FI,AS002,AS001|AS003|AS004|AS005|AS006,5,5,FI_c005,1.03621629550703,1,1,0,0,0,0,0,completed,variant_selected_on_other_five_devices
FI,AS003,AS001|AS002|AS004|AS005|AS006,5,5,FI_c005,1.03624326033985,1,1,0,0,0,0,0,completed,variant_selected_on_other_five_devices
FI,AS004,AS001|AS002|AS003|AS005|AS006,5,5,FI_c005,1.1290547988351,1,1,0,0,0,0,0,completed,variant_selected_on_other_five_devices
FI,AS005,AS001|AS002|AS003|AS004|AS006,5,5,FI_c001,0.632455691806366,1,1,0,0,0,0,0,completed,variant_selected_on_other_five_devices
FI,AS006,AS001|AS002|AS003|AS004|AS005,5,5,FI_c005,1.11416521343699,1,1,0,0,0,0,0,completed,variant_selected_on_other_five_devices
FBI,AS001,AS002|AS003|AS004|AS005|AS006,5,27,FBI_c027,1.04696234988145,1,1,0,0,0,0,0,completed,variant_selected_on_other_five_devices
FBI,AS002,AS001|AS003|AS004|AS005|AS006,5,27,FBI_c027,1.01138605053901,1,1,0,0,0,0,0,completed,variant_selected_on_other_five_devices
FBI,AS003,AS001|AS002|AS004|AS005|AS006,5,27,FBI_c027,1.01138220468266,1,1,0,0,0,0,0,completed,variant_selected_on_other_five_devices
FBI,AS004,AS001|AS002|AS003|AS005|AS006,5,27,FBI_c027,1.10038057893016,1,1,0,0,0,0,0,completed,variant_selected_on_other_five_devices
FBI,AS005,AS001|AS002|AS003|AS004|AS006,5,27,FBI_c009,0.595151203628032,1,1,0,0,0,0,0,completed,variant_selected_on_other_five_devices
FBI,AS006,AS001|AS002|AS003|AS004|AS005,5,27,FBI_c027,1.08579480295673,1,1,0,0,0,0,0,completed,variant_selected_on_other_five_devices
