variant_id,device,probe_role,metric,predicted_value,observed_value,residual,prediction_status
F0,AS001,primary,T90,NaN,NaN,NaN,completed
F0,AS001,primary,T50,NaN,NaN,NaN,completed
F0,AS001,primary,T10,NaN,NaN,NaN,completed
F0,AS001,primary,width_T90_T10,NaN,NaN,NaN,completed
F0,AS001,primary,low_temperature_residual_fraction,0.11,0.979256160097062,-0.869256160097062,completed
F0,AS001,primary,full_curve_residual,0.782367361492379,0.782367361492379,0,completed
F0,AS001,secondary,T90,NaN,NaN,NaN,completed
F0,AS001,secondary,T50,NaN,NaN,NaN,completed
F0,AS001,secondary,T10,NaN,NaN,NaN,completed
F0,AS001,secondary,width_T90_T10,NaN,NaN,NaN,completed
F0,AS001,secondary,low_temperature_residual_fraction,0.11,0.997228417747567,-0.887228417747567,completed
F0,AS001,secondary,full_curve_residual,0.792275751433199,0.792275751433199,0,completed
F0,AS002,primary,T90,NaN,NaN,NaN,completed
F0,AS002,primary,T50,NaN,NaN,NaN,completed
F0,AS002,primary,T10,NaN,NaN,NaN,completed
F0,AS002,primary,width_T90_T10,NaN,NaN,NaN,completed
F0,AS002,primary,low_temperature_residual_fraction,0.09008493788914,0.982590688842325,-0.892505750953185,completed
F0,AS002,primary,full_curve_residual,0.820528725950377,0.820528725950377,0,completed
F0,AS003,primary,T90,NaN,NaN,NaN,completed
F0,AS003,primary,T50,NaN,NaN,NaN,completed
F0,AS003,primary,T10,NaN,NaN,NaN,completed
F0,AS003,primary,width_T90_T10,NaN,NaN,NaN,completed
F0,AS003,primary,low_temperature_residual_fraction,0.102725901499408,1.01301640329692,-0.910290501797512,completed
F0,AS003,primary,full_curve_residual,0.813226071782957,0.813226071782957,0,completed
F0,AS004,primary,T90,NaN,0.28964257619556,NaN,completed
F0,AS004,primary,T50,NaN,0.228018287884999,NaN,completed
F0,AS004,primary,T10,NaN,0.17524274694046,NaN,completed
F0,AS004,primary,width_T90_T10,NaN,0.1143998292551,NaN,completed
F0,AS004,primary,low_temperature_residual_fraction,0.0766551965314274,0.0140271649529004,0.062628031578527,completed
F0,AS004,primary,full_curve_residual,0.625500186164036,0.625500186164036,0,completed
F0,AS004,secondary,T90,NaN,0.409491992248819,NaN,completed
F0,AS004,secondary,T50,NaN,0.244885944807576,NaN,completed
F0,AS004,secondary,T10,NaN,0.169747702429291,NaN,completed
F0,AS004,secondary,width_T90_T10,NaN,0.239744289819529,NaN,completed
F0,AS004,secondary,low_temperature_residual_fraction,0.0766551965314274,0.006011003792904,0.0706441927385234,completed
F0,AS004,secondary,full_curve_residual,0.561351988527308,0.561351988527308,0,completed
F0,AS005,primary,T90,3.99757225007901,1.4912748622487,2.50629738783031,completed
F0,AS005,primary,T50,3.74877790674691,0.983134387351779,2.76564351939513,completed
F0,AS005,primary,T10,NaN,0.771634931186218,NaN,completed
F0,AS005,primary,width_T90_T10,NaN,0.71963993106248,NaN,completed
F0,AS005,primary,low_temperature_residual_fraction,0.196684461489483,0.0705827004048035,0.12610176108468,completed
F0,AS005,primary,full_curve_residual,0.325502027370319,0.325502027370319,0,completed
F0,AS006,primary,T90,NaN,0.325055716144821,NaN,completed
F0,AS006,primary,T50,NaN,0.131003401702494,NaN,completed
F0,AS006,primary,T10,NaN,NaN,NaN,completed
F0,AS006,primary,width_T90_T10,NaN,NaN,NaN,completed
F0,AS006,primary,low_temperature_residual_fraction,0.0608703933085871,0.240527304807248,-0.179656911498661,completed
F0,AS006,primary,full_curve_residual,0.710154318275353,0.710154318275353,0,completed
F0,AS006,secondary,T90,NaN,0.251268566586107,NaN,completed
