variant_id,device,coverage_fraction,mean_interval_width,coverage_policy
F0,AS001,0,0,Phase13C_seed_interval_transformed_by_frozen_variant_layer
F0,AS002,0,0,Phase13C_seed_interval_transformed_by_frozen_variant_layer
F0,AS003,0,0,Phase13C_seed_interval_transformed_by_frozen_variant_layer
F0,AS004,0,0,Phase13C_seed_interval_transformed_by_frozen_variant_layer
F0,AS005,0.025,0.0268589967287707,Phase13C_seed_interval_transformed_by_frozen_variant_layer
F0,AS006,0,0,Phase13C_seed_interval_transformed_by_frozen_variant_layer
FB,AS001,0,0,Phase13C_seed_interval_transformed_by_frozen_variant_layer
FB,AS002,0,0,Phase13C_seed_interval_transformed_by_frozen_variant_layer
FB,AS003,0,0,Phase13C_seed_interval_transformed_by_frozen_variant_layer
FB,AS004,0,0,Phase13C_seed_interval_transformed_by_frozen_variant_layer
FB,AS005,0.0166666666666667,0.0271764663882515,Phase13C_seed_interval_transformed_by_frozen_variant_layer
FB,AS006,0,0,Phase13C_seed_interval_transformed_by_frozen_variant_layer
FI,AS001,0,0,Phase13C_seed_interval_transformed_by_frozen_variant_layer
FI,AS002,0,0,Phase13C_seed_interval_transformed_by_frozen_variant_layer
FI,AS003,0,0,Phase13C_seed_interval_transformed_by_frozen_variant_layer
FI,AS004,0,0,Phase13C_seed_interval_transformed_by_frozen_variant_layer
FI,AS005,0.0333333333333333,0.0265166289940018,Phase13C_seed_interval_transformed_by_frozen_variant_layer
FI,AS006,0,0,Phase13C_seed_interval_transformed_by_frozen_variant_layer
FBI,AS001,0,0,Phase13C_seed_interval_transformed_by_frozen_variant_layer
FBI,AS002,0,0,Phase13C_seed_interval_transformed_by_frozen_variant_layer
FBI,AS003,0,0,Phase13C_seed_interval_transformed_by_frozen_variant_layer
FBI,AS004,0,0,Phase13C_seed_interval_transformed_by_frozen_variant_layer
FBI,AS005,0.0166666666666667,0.0270672246707417,Phase13C_seed_interval_transformed_by_frozen_variant_layer
FBI,AS006,0,0,Phase13C_seed_interval_transformed_by_frozen_variant_layer
