variant_id,device,S_curve,S_F0,DeltaS_vs_F0,improved_vs_F0,severe_regression_vs_F0,T90,T50,T10,DeltaT_90_10,Rlow_over_RN,n_threshold_both_cross,primary_interval_coverage,comparative_adequacy_decision
F0,AS001,0.782367361492379,0.782367361492379,0,0,0,NaN,NaN,NaN,NaN,0.11,0,0,pending_phase13F4
F0,AS002,0.820528725950377,0.820528725950377,0,0,0,NaN,NaN,NaN,NaN,0.09008493788914,0,0,pending_phase13F4
F0,AS003,0.813226071782957,0.813226071782957,0,0,0,NaN,NaN,NaN,NaN,0.102725901499408,0,0,pending_phase13F4
F0,AS004,0.625500186164036,0.625500186164036,0,0,0,NaN,NaN,NaN,NaN,0.0766551965314274,0,0,pending_phase13F4
F0,AS005,0.325502027370319,0.325502027370319,0,0,0,3.99757225007901,3.74877790674691,NaN,NaN,0.196684461489483,2,0.025,pending_phase13F4
F0,AS006,0.710154318275353,0.710154318275353,0,0,0,NaN,NaN,NaN,NaN,0.0608703933085871,0,0,pending_phase13F4
FB,AS001,0.760462857140273,0.782367361492379,-0.0219045043521059,1,0,NaN,NaN,NaN,NaN,0.184645549101716,0,0,pending_phase13F4
FB,AS002,0.797240306902305,0.820528725950377,-0.0232884190480726,1,0,NaN,NaN,0.356498192918205,NaN,0.169267802596981,0,0,pending_phase13F4
FB,AS003,0.789479523030338,0.813226071782957,-0.0237465487526184,1,0,NaN,NaN,NaN,NaN,0.180306205262427,0,0,pending_phase13F4
FB,AS004,0.62567156885745,0.625500186164036,0.000171382693413547,0,0,NaN,NaN,0.213263519938571,NaN,0.155485548125545,1,0,pending_phase13F4
FB,AS005,0.328302502065424,0.325502027370319,0.00280047469510514,0,0,3.9758722859853,3.7487397649624,NaN,NaN,0.264460083430391,2,0.0166666666666667,pending_phase13F4
FB,AS006,0.700350311462419,0.710154318275353,-0.0098040068129337,1,0,NaN,NaN,0.186981179937207,NaN,0.142484993545925,0,0,pending_phase13F4
FI,AS001,0.782367361492379,0.782367361492379,0,0,0,NaN,NaN,NaN,NaN,0.11,0,0,pending_phase13F4
FI,AS002,0.820528725950377,0.820528725950377,0,0,0,NaN,NaN,NaN,NaN,0.09008493788914,0,0,pending_phase13F4
FI,AS003,0.813226071782957,0.813226071782957,0,0,0,NaN,NaN,NaN,NaN,0.102725901499408,0,0,pending_phase13F4
FI,AS004,0.625500186164036,0.625500186164036,0,0,0,NaN,NaN,NaN,NaN,0.0766551965314274,0,0,pending_phase13F4
FI,AS005,0.328910381106716,0.325502027370319,0.0034083537363967,0,0,4.06695312192217,3.79924292236606,NaN,NaN,0.196684461489483,2,0.0333333333333333,pending_phase13F4
FI,AS006,0.710154318275353,0.710154318275353,0,0,0,NaN,NaN,NaN,NaN,0.0608703933085871,0,0,pending_phase13F4
FBI,AS001,0.756264207026606,0.782367361492379,-0.0261031544657726,1,0,NaN,NaN,NaN,NaN,0.199574658922059,0,0,pending_phase13F4
FBI,AS002,0.792783187770685,0.820528725950377,-0.0277455381796926,1,0,NaN,NaN,0.988870577581181,NaN,0.18510437553855,0,0,pending_phase13F4
FBI,AS003,0.784926979173858,0.813226071782957,-0.0282990926090989,1,0,NaN,NaN,NaN,NaN,0.195822266015031,0,0,pending_phase13F4
FBI,AS004,0.62589823207594,0.625500186164036,0.000398045911903955,0,0,NaN,NaN,0.221907099948809,NaN,0.171251618444369,1,0,pending_phase13F4
FBI,AS005,0.331518029361442,0.325502027370319,0.0060160019911229,0,0,4.00794523527365,3.78571677826969,NaN,NaN,0.278015207818572,2,0.0166666666666667,pending_phase13F4
FBI,AS006,0.698601896817871,0.710154318275353,-0.0115524214574824,1,0,NaN,NaN,0.203525983281006,NaN,0.158807913593392,0,0,pending_phase13F4
