variant_id,heldout_device,parameter,selected_candidate_id,fit_status,estimated_value,lower_bound,upper_bound,parameter_role
F0,AS001,baseline_gain,F0_c001,completed,0,0,0.12,shared_variant_parameter
F0,AS001,residual_shunt_gain,F0_c001,completed,0,0,0.12,shared_variant_parameter
F0,AS001,interface_shift_gain,F0_c001,completed,0,-0.08,0.08,shared_variant_parameter
F0,AS002,baseline_gain,F0_c001,completed,0,0,0.12,shared_variant_parameter
F0,AS002,residual_shunt_gain,F0_c001,completed,0,0,0.12,shared_variant_parameter
F0,AS002,interface_shift_gain,F0_c001,completed,0,-0.08,0.08,shared_variant_parameter
F0,AS003,baseline_gain,F0_c001,completed,0,0,0.12,shared_variant_parameter
F0,AS003,residual_shunt_gain,F0_c001,completed,0,0,0.12,shared_variant_parameter
F0,AS003,interface_shift_gain,F0_c001,completed,0,-0.08,0.08,shared_variant_parameter
F0,AS004,baseline_gain,F0_c001,completed,0,0,0.12,shared_variant_parameter
F0,AS004,residual_shunt_gain,F0_c001,completed,0,0,0.12,shared_variant_parameter
F0,AS004,interface_shift_gain,F0_c001,completed,0,-0.08,0.08,shared_variant_parameter
F0,AS005,baseline_gain,F0_c001,completed,0,0,0.12,shared_variant_parameter
F0,AS005,residual_shunt_gain,F0_c001,completed,0,0,0.12,shared_variant_parameter
F0,AS005,interface_shift_gain,F0_c001,completed,0,-0.08,0.08,shared_variant_parameter
F0,AS006,baseline_gain,F0_c001,completed,0,0,0.12,shared_variant_parameter
F0,AS006,residual_shunt_gain,F0_c001,completed,0,0,0.12,shared_variant_parameter
F0,AS006,interface_shift_gain,F0_c001,completed,0,-0.08,0.08,shared_variant_parameter
FB,AS001,baseline_gain,FB_c009,completed,0.1,0,0.12,shared_variant_parameter
FB,AS001,residual_shunt_gain,FB_c009,completed,0.1,0,0.12,shared_variant_parameter
FB,AS001,interface_shift_gain,FB_c009,completed,0,-0.08,0.08,shared_variant_parameter
FB,AS002,baseline_gain,FB_c009,completed,0.1,0,0.12,shared_variant_parameter
FB,AS002,residual_shunt_gain,FB_c009,completed,0.1,0,0.12,shared_variant_parameter
FB,AS002,interface_shift_gain,FB_c009,completed,0,-0.08,0.08,shared_variant_parameter
FB,AS003,baseline_gain,FB_c009,completed,0.1,0,0.12,shared_variant_parameter
FB,AS003,residual_shunt_gain,FB_c009,completed,0.1,0,0.12,shared_variant_parameter
FB,AS003,interface_shift_gain,FB_c009,completed,0,-0.08,0.08,shared_variant_parameter
FB,AS004,baseline_gain,FB_c009,completed,0.1,0,0.12,shared_variant_parameter
FB,AS004,residual_shunt_gain,FB_c009,completed,0.1,0,0.12,shared_variant_parameter
FB,AS004,interface_shift_gain,FB_c009,completed,0,-0.08,0.08,shared_variant_parameter
FB,AS005,baseline_gain,FB_c009,completed,0.1,0,0.12,shared_variant_parameter
FB,AS005,residual_shunt_gain,FB_c009,completed,0.1,0,0.12,shared_variant_parameter
FB,AS005,interface_shift_gain,FB_c009,completed,0,-0.08,0.08,shared_variant_parameter
FB,AS006,baseline_gain,FB_c009,completed,0.1,0,0.12,shared_variant_parameter
FB,AS006,residual_shunt_gain,FB_c009,completed,0.1,0,0.12,shared_variant_parameter
FB,AS006,interface_shift_gain,FB_c009,completed,0,-0.08,0.08,shared_variant_parameter
FI,AS001,baseline_gain,FI_c005,completed,0,0,0.12,shared_variant_parameter
FI,AS001,residual_shunt_gain,FI_c005,completed,0,0,0.12,shared_variant_parameter
FI,AS001,interface_shift_gain,FI_c005,completed,0.08,-0.08,0.08,shared_variant_parameter
FI,AS002,baseline_gain,FI_c005,completed,0,0,0.12,shared_variant_parameter
FI,AS002,residual_shunt_gain,FI_c005,completed,0,0,0.12,shared_variant_parameter
FI,AS002,interface_shift_gain,FI_c005,completed,0.08,-0.08,0.08,shared_variant_parameter
FI,AS003,baseline_gain,FI_c005,completed,0,0,0.12,shared_variant_parameter
FI,AS003,residual_shunt_gain,FI_c005,completed,0,0,0.12,shared_variant_parameter
FI,AS003,interface_shift_gain,FI_c005,completed,0.08,-0.08,0.08,shared_variant_parameter
FI,AS004,baseline_gain,FI_c005,completed,0,0,0.12,shared_variant_parameter
FI,AS004,residual_shunt_gain,FI_c005,completed,0,0,0.12,shared_variant_parameter
FI,AS004,interface_shift_gain,FI_c005,completed,0.08,-0.08,0.08,shared_variant_parameter
FI,AS005,baseline_gain,FI_c001,completed,0,0,0.12,shared_variant_parameter
FI,AS005,residual_shunt_gain,FI_c001,completed,0,0,0.12,shared_variant_parameter
FI,AS005,interface_shift_gain,FI_c001,completed,-0.08,-0.08,0.08,shared_variant_parameter
FI,AS006,baseline_gain,FI_c005,completed,0,0,0.12,shared_variant_parameter
FI,AS006,residual_shunt_gain,FI_c005,completed,0,0,0.12,shared_variant_parameter
FI,AS006,interface_shift_gain,FI_c005,completed,0.08,-0.08,0.08,shared_variant_parameter
FBI,AS001,baseline_gain,FBI_c027,completed,0.12,0,0.12,shared_variant_parameter
FBI,AS001,residual_shunt_gain,FBI_c027,completed,0.12,0,0.12,shared_variant_parameter
FBI,AS001,interface_shift_gain,FBI_c027,completed,0.06,-0.08,0.08,shared_variant_parameter
FBI,AS002,baseline_gain,FBI_c027,completed,0.12,0,0.12,shared_variant_parameter
FBI,AS002,residual_shunt_gain,FBI_c027,completed,0.12,0,0.12,shared_variant_parameter
FBI,AS002,interface_shift_gain,FBI_c027,completed,0.06,-0.08,0.08,shared_variant_parameter
FBI,AS003,baseline_gain,FBI_c027,completed,0.12,0,0.12,shared_variant_parameter
FBI,AS003,residual_shunt_gain,FBI_c027,completed,0.12,0,0.12,shared_variant_parameter
FBI,AS003,interface_shift_gain,FBI_c027,completed,0.06,-0.08,0.08,shared_variant_parameter
FBI,AS004,baseline_gain,FBI_c027,completed,0.12,0,0.12,shared_variant_parameter
FBI,AS004,residual_shunt_gain,FBI_c027,completed,0.12,0,0.12,shared_variant_parameter
FBI,AS004,interface_shift_gain,FBI_c027,completed,0.06,-0.08,0.08,shared_variant_parameter
FBI,AS005,baseline_gain,FBI_c009,completed,0.12,0,0.12,shared_variant_parameter
