device,variant_id,channel_role,measurement_channel,temperature_K,observed_positive_Ic_A,observed_negative_Ic_abs_A,predicted_Ic_abs_A,positive_switch_error_A,negative_switch_error_A,switching_status
AS001,N0,primary,R1_primary_dVdI,0.0602,9.5e-08,5.5e-08,NaN,NaN,NaN,observed_switch_predicted_no_switch
AS001,N0,primary,R1_primary_dVdI,0.0801,4.35e-07,6.35e-07,NaN,NaN,NaN,observed_switch_predicted_no_switch
AS001,N0,primary,R1_primary_dVdI,0.1,1.45e-07,2.235e-06,NaN,NaN,NaN,observed_switch_predicted_no_switch
AS001,N0,primary,R1_primary_dVdI,0.12,8.75e-07,9.35e-07,NaN,NaN,NaN,observed_switch_predicted_no_switch
AS001,N0,primary,R1_primary_dVdI,0.1402,5.65e-07,9.75e-07,NaN,NaN,NaN,observed_switch_predicted_no_switch
AS001,N0,primary,R1_primary_dVdI,0.1603,1.715e-06,2.045e-06,NaN,NaN,NaN,observed_switch_predicted_no_switch
AS001,N0,primary,R1_primary_dVdI,0.1801,6.05e-07,1.355e-06,NaN,NaN,NaN,observed_switch_predicted_no_switch
AS001,N0,primary,R1_primary_dVdI,0.2002,2.375e-06,5e-09,NaN,NaN,NaN,observed_switch_predicted_no_switch
AS001,N0,primary,R1_primary_dVdI,0.22,1.685e-06,8.35e-07,NaN,NaN,NaN,observed_switch_predicted_no_switch
AS001,N0,primary,R1_primary_dVdI,0.2402,1.975e-06,1.95e-07,NaN,NaN,NaN,observed_switch_predicted_no_switch
AS001,N0,primary,R1_primary_dVdI,0.2599,3.45e-07,1.565e-06,NaN,NaN,NaN,observed_switch_predicted_no_switch
AS001,N0,primary,R1_primary_dVdI,0.2798,2.365e-06,7.35e-07,NaN,NaN,NaN,observed_switch_predicted_no_switch
AS001,N0,primary,R1_primary_dVdI,0.3003,9.05e-07,1.775e-06,NaN,NaN,NaN,observed_switch_predicted_no_switch
AS001,N0,primary,R1_primary_dVdI,0.3198,2.25e-07,7.25e-07,NaN,NaN,NaN,observed_switch_predicted_no_switch
AS001,N0,primary,R1_primary_dVdI,0.34,5.95e-07,1.95e-07,NaN,NaN,NaN,observed_switch_predicted_no_switch
AS001,N0,primary,R1_primary_dVdI,0.3597,1.855e-06,2.355e-06,NaN,NaN,NaN,observed_switch_predicted_no_switch
AS001,N0,primary,R1_primary_dVdI,0.3803,1.955e-06,1.085e-06,NaN,NaN,NaN,observed_switch_predicted_no_switch
AS001,N0,primary,R1_primary_dVdI,0.4002,3.05e-07,1.95e-07,NaN,NaN,NaN,observed_switch_predicted_no_switch
AS001,N0,primary,R1_primary_dVdI,0.42,2.25e-07,3.85e-07,NaN,NaN,NaN,observed_switch_predicted_no_switch
AS001,N0,primary,R1_primary_dVdI,0.4397,2.075e-06,1.505e-06,NaN,NaN,NaN,observed_switch_predicted_no_switch
