device,variant_id,channel_role,measurement_channel,temperature_K,observed_feature_count,predicted_feature_count,observed_switching_width_A,predicted_switching_width_A,feature_count_error,width_error_A
AS001,N0,primary,R1_primary_dVdI,0.0602,2,0,1.05e-07,Inf,2,NaN
AS001,N0,primary,R1_primary_dVdI,0.0801,2,0,2.9e-07,Inf,2,NaN
AS001,N0,primary,R1_primary_dVdI,0.1,2,0,3.65e-07,Inf,2,NaN
AS001,N0,primary,R1_primary_dVdI,0.12,2,0,5.55000000000001e-07,Inf,2,NaN
AS001,N0,primary,R1_primary_dVdI,0.1402,2,0,2.65e-07,Inf,2,NaN
AS001,N0,primary,R1_primary_dVdI,0.1603,2,0,3.55e-07,Inf,2,NaN
AS001,N0,primary,R1_primary_dVdI,0.1801,2,0,2.95e-07,Inf,2,NaN
AS001,N0,primary,R1_primary_dVdI,0.2002,2,0,3.3e-07,Inf,2,NaN
AS001,N0,primary,R1_primary_dVdI,0.22,2,0,2.9e-07,Inf,2,NaN
AS001,N0,primary,R1_primary_dVdI,0.2402,2,0,4.35e-07,Inf,2,NaN
AS001,N0,primary,R1_primary_dVdI,0.2599,2,0,3.7e-07,Inf,2,NaN
AS001,N0,primary,R1_primary_dVdI,0.2798,2,0,3.1e-07,Inf,2,NaN
AS001,N0,primary,R1_primary_dVdI,0.3003,2,0,3.15e-07,Inf,2,NaN
AS001,N0,primary,R1_primary_dVdI,0.3198,2,0,3.35e-07,Inf,2,NaN
AS001,N0,primary,R1_primary_dVdI,0.34,2,0,2.8e-07,Inf,2,NaN
AS001,N0,primary,R1_primary_dVdI,0.3597,2,0,3.8e-07,Inf,2,NaN
AS001,N0,primary,R1_primary_dVdI,0.3803,2,0,3.25e-07,Inf,2,NaN
AS001,N0,primary,R1_primary_dVdI,0.4002,2,0,3.8e-07,Inf,2,NaN
AS001,N0,primary,R1_primary_dVdI,0.42,2,0,3.2e-07,Inf,2,NaN
AS001,N0,primary,R1_primary_dVdI,0.4397,2,0,3.65e-07,Inf,2,NaN
AS001,N0,primary,R1_primary_dVdI,0.4599,2,0,3.4e-07,Inf,2,NaN
AS001,N0,primary,R1_primary_dVdI,0.48,2,0,2.7e-07,Inf,2,NaN
AS001,N0,primary,R1_primary_dVdI,0.5004,2,0,1.35e-07,Inf,2,NaN
AS001,N0,primary,R1_primary_dVdI,0.5207,2,0,3.6e-07,Inf,2,NaN
AS001,N0,primary,R1_primary_dVdI,0.5394,2,0,3.35e-07,Inf,2,NaN
AS001,N0,primary,R1_primary_dVdI,0.5598,2,0,4.75e-07,Inf,2,NaN
AS001,N0,primary,R1_primary_dVdI,0.579,2,0,3.1e-07,Inf,2,NaN
AS001,N0,primary,R1_primary_dVdI,0.5995,2,0,3.25e-07,Inf,2,NaN
AS001,N0,primary,R1_primary_dVdI,0.6189,2,0,2.9e-07,Inf,2,NaN
AS001,N0,primary,R1_primary_dVdI,0.6389,2,0,3.8e-07,Inf,2,NaN
AS001,N0,primary,R1_primary_dVdI,0.6602,2,0,2.25e-07,Inf,2,NaN
AS001,N0,primary,R1_primary_dVdI,0.6796,2,0,3.75e-07,Inf,2,NaN
AS001,N0,primary,R1_primary_dVdI,0.7001,2,0,2.8e-07,Inf,2,NaN
AS001,N0,primary,R1_primary_dVdI,0.7197,2,0,4.8e-07,Inf,2,NaN
AS001,N0,primary,R1_primary_dVdI,0.7395,2,0,4.45e-07,Inf,2,NaN
AS001,N0,primary,R1_primary_dVdI,0.7605,2,0,1.95e-07,Inf,2,NaN
AS001,N0,primary,R1_primary_dVdI,0.7811,2,0,5.30000000000001e-07,Inf,2,NaN
AS001,N0,primary,R1_primary_dVdI,0.8005,2,0,2.35e-07,Inf,2,NaN
AS001,NI,primary,R1_primary_dVdI,0.0602,2,1,1.05e-07,8.75e-08,1,1.75000000000001e-08
AS001,NI,primary,R1_primary_dVdI,0.0801,2,1,2.9e-07,8.75e-08,1,2.025e-07
AS001,NI,primary,R1_primary_dVdI,0.1,2,1,3.65e-07,8.75e-08,1,2.775e-07
AS001,NI,primary,R1_primary_dVdI,0.12,2,1,5.55000000000001e-07,8.75e-08,1,4.67500000000001e-07
AS001,NI,primary,R1_primary_dVdI,0.1402,2,1,2.65e-07,8.75e-08,1,1.775e-07
AS001,NI,primary,R1_primary_dVdI,0.1603,2,1,3.55e-07,8.75e-08,1,2.675e-07
AS001,NI,primary,R1_primary_dVdI,0.1801,2,1,2.95e-07,8.75e-08,1,2.075e-07
AS001,NI,primary,R1_primary_dVdI,0.2002,2,1,3.3e-07,8.75e-08,1,2.425e-07
AS001,NI,primary,R1_primary_dVdI,0.22,2,1,2.9e-07,8.75e-08,1,2.025e-07
AS001,NI,primary,R1_primary_dVdI,0.2402,2,1,4.35e-07,8.75e-08,1,3.475e-07
AS001,NI,primary,R1_primary_dVdI,0.2599,2,1,3.7e-07,8.75e-08,1,2.825e-07
AS001,NI,primary,R1_primary_dVdI,0.2798,2,1,3.1e-07,8.75e-08,1,2.225e-07
AS001,NI,primary,R1_primary_dVdI,0.3003,2,1,3.15e-07,8.75e-08,1,2.275e-07
AS001,NI,primary,R1_primary_dVdI,0.3198,2,1,3.35e-07,8.75e-08,1,2.475e-07
AS001,NI,primary,R1_primary_dVdI,0.34,2,1,2.8e-07,8.75e-08,1,1.925e-07
AS001,NI,primary,R1_primary_dVdI,0.3597,2,1,3.8e-07,8.75e-08,1,2.925e-07
AS001,NI,primary,R1_primary_dVdI,0.3803,2,1,3.25e-07,8.75e-08,1,2.375e-07
AS001,NI,primary,R1_primary_dVdI,0.4002,2,1,3.8e-07,8.75e-08,1,2.925e-07
AS001,NI,primary,R1_primary_dVdI,0.42,2,1,3.2e-07,8.75e-08,1,2.325e-07
AS001,NI,primary,R1_primary_dVdI,0.4397,2,1,3.65e-07,8.75e-08,1,2.775e-07
AS001,NI,primary,R1_primary_dVdI,0.4599,2,1,3.4e-07,8.75e-08,1,2.525e-07
AS001,NI,primary,R1_primary_dVdI,0.48,2,1,2.7e-07,8.75e-08,1,1.825e-07
AS001,NI,primary,R1_primary_dVdI,0.5004,2,1,1.35e-07,8.75e-08,1,4.75000000000001e-08
AS001,NI,primary,R1_primary_dVdI,0.5207,2,1,3.6e-07,8.75e-08,1,2.725e-07
AS001,NI,primary,R1_primary_dVdI,0.5394,2,1,3.35e-07,8.75e-08,1,2.475e-07
AS001,NI,primary,R1_primary_dVdI,0.5598,2,1,4.75e-07,8.75e-08,1,3.875e-07
AS001,NI,primary,R1_primary_dVdI,0.579,2,1,3.1e-07,8.75e-08,1,2.225e-07
AS001,NI,primary,R1_primary_dVdI,0.5995,2,1,3.25e-07,8.75e-08,1,2.375e-07
AS001,NI,primary,R1_primary_dVdI,0.6189,2,1,2.9e-07,8.75e-08,1,2.025e-07
AS001,NI,primary,R1_primary_dVdI,0.6389,2,1,3.8e-07,8.75e-08,1,2.925e-07
AS001,NI,primary,R1_primary_dVdI,0.6602,2,1,2.25e-07,8.75e-08,1,1.375e-07
AS001,NI,primary,R1_primary_dVdI,0.6796,2,1,3.75e-07,8.75e-08,1,2.875e-07
AS001,NI,primary,R1_primary_dVdI,0.7001,2,1,2.8e-07,8.75e-08,1,1.925e-07
AS001,NI,primary,R1_primary_dVdI,0.7197,2,1,4.8e-07,8.75e-08,1,3.925e-07
AS001,NI,primary,R1_primary_dVdI,0.7395,2,1,4.45e-07,8.75e-08,1,3.575e-07
AS001,NI,primary,R1_primary_dVdI,0.7605,2,1,1.95e-07,8.75e-08,1,1.075e-07
AS001,NI,primary,R1_primary_dVdI,0.7811,2,1,5.30000000000001e-07,8.75e-08,1,4.42500000000001e-07
AS001,NI,primary,R1_primary_dVdI,0.8005,2,1,2.35e-07,8.75e-08,1,1.475e-07
AS001,N0,secondary,R2_secondary_dVdI,0.0602,2,0,2.55e-07,Inf,2,NaN
AS001,N0,secondary,R2_secondary_dVdI,0.0801,2,0,2e-07,Inf,2,NaN
AS001,N0,secondary,R2_secondary_dVdI,0.1,2,0,3.15e-07,Inf,2,NaN
AS001,N0,secondary,R2_secondary_dVdI,0.12,2,0,4.35e-07,Inf,2,NaN
AS001,N0,secondary,R2_secondary_dVdI,0.1402,2,0,2.6e-07,Inf,2,NaN
AS001,N0,secondary,R2_secondary_dVdI,0.1603,2,0,2.95e-07,Inf,2,NaN
AS001,N0,secondary,R2_secondary_dVdI,0.1801,2,0,2.1e-07,Inf,2,NaN
AS001,N0,secondary,R2_secondary_dVdI,0.2002,2,0,3.15e-07,Inf,2,NaN
AS001,N0,secondary,R2_secondary_dVdI,0.22,2,0,2.3e-07,Inf,2,NaN
AS001,N0,secondary,R2_secondary_dVdI,0.2402,2,0,1.5e-07,Inf,2,NaN
AS001,N0,secondary,R2_secondary_dVdI,0.2599,2,0,2.1e-07,Inf,2,NaN
AS001,N0,secondary,R2_secondary_dVdI,0.2798,2,0,1.8e-07,Inf,2,NaN
AS001,N0,secondary,R2_secondary_dVdI,0.3003,2,0,2.5e-07,Inf,2,NaN
AS001,N0,secondary,R2_secondary_dVdI,0.3198,2,0,3.15e-07,Inf,2,NaN
AS001,N0,secondary,R2_secondary_dVdI,0.34,2,0,3e-07,Inf,2,NaN
AS001,N0,secondary,R2_secondary_dVdI,0.3597,2,0,2.8e-07,Inf,2,NaN
AS001,N0,secondary,R2_secondary_dVdI,0.3803,2,0,1.05e-07,Inf,2,NaN
AS001,N0,secondary,R2_secondary_dVdI,0.4002,2,0,2.4e-07,Inf,2,NaN
AS001,N0,secondary,R2_secondary_dVdI,0.42,2,0,2.7e-07,Inf,2,NaN
AS001,N0,secondary,R2_secondary_dVdI,0.4397,2,0,2.55e-07,Inf,2,NaN
AS001,N0,secondary,R2_secondary_dVdI,0.4599,2,0,1.95e-07,Inf,2,NaN
AS001,N0,secondary,R2_secondary_dVdI,0.48,2,0,3.95e-07,Inf,2,NaN
AS001,N0,secondary,R2_secondary_dVdI,0.5004,2,0,1.85e-07,Inf,2,NaN
AS001,N0,secondary,R2_secondary_dVdI,0.5207,2,0,2.2e-07,Inf,2,NaN
AS001,N0,secondary,R2_secondary_dVdI,0.5394,2,0,2.15e-07,Inf,2,NaN
AS001,N0,secondary,R2_secondary_dVdI,0.5598,2,0,3.65e-07,Inf,2,NaN
AS001,N0,secondary,R2_secondary_dVdI,0.579,2,0,2.8e-07,Inf,2,NaN
AS001,N0,secondary,R2_secondary_dVdI,0.5995,2,0,3.6e-07,Inf,2,NaN
AS001,N0,secondary,R2_secondary_dVdI,0.6189,2,0,3.15e-07,Inf,2,NaN
AS001,N0,secondary,R2_secondary_dVdI,0.6389,2,0,3.25e-07,Inf,2,NaN
AS001,N0,secondary,R2_secondary_dVdI,0.6602,2,0,2.65e-07,Inf,2,NaN
AS001,N0,secondary,R2_secondary_dVdI,0.6796,2,0,2.3e-07,Inf,2,NaN
AS001,N0,secondary,R2_secondary_dVdI,0.7001,2,0,2.7e-07,Inf,2,NaN
AS001,N0,secondary,R2_secondary_dVdI,0.7197,2,0,1.9e-07,Inf,2,NaN
AS001,N0,secondary,R2_secondary_dVdI,0.7395,2,0,3.5e-07,Inf,2,NaN
AS001,N0,secondary,R2_secondary_dVdI,0.7605,2,0,2.65e-07,Inf,2,NaN
AS001,N0,secondary,R2_secondary_dVdI,0.7811,2,0,4.45e-07,Inf,2,NaN
AS001,N0,secondary,R2_secondary_dVdI,0.8005,2,0,3.8e-07,Inf,2,NaN
AS001,NI,secondary,R2_secondary_dVdI,0.0602,2,1,2.55e-07,8.75e-08,1,1.675e-07
AS001,NI,secondary,R2_secondary_dVdI,0.0801,2,1,2e-07,8.75e-08,1,1.125e-07
AS001,NI,secondary,R2_secondary_dVdI,0.1,2,1,3.15e-07,8.75e-08,1,2.275e-07
AS001,NI,secondary,R2_secondary_dVdI,0.12,2,1,4.35e-07,8.75e-08,1,3.475e-07
