device,variant_id,channel_role,measurement_channel,temperature_region,temperature_K,mean_squared_residual,mean_absolute_residual,observed_low_bias,predicted_low_bias,observed_high_bias,predicted_high_bias
AS001,N0,primary,R1_primary_dVdI,lowT,0.3003,0.393162850497627,0.552432288089926,-0.0123024160045174,-0.0123024160045174,0.522080943884242,-0.0123024160045174
AS001,N0,primary,R1_primary_dVdI,transition,0.579,0.0746353889131145,0.219928000665837,0.666369291548838,0.666369291548838,0.600122276230569,0.666369291548838
AS001,N0,primary,R1_primary_dVdI,onset,0.8005,0.0638201888117575,0.199649350179959,0.656671819555685,0.656671819555685,0.54315625741091,0.656671819555685
AS001,NI,primary,R1_primary_dVdI,lowT,0.3003,0.112644887320226,0.274759588472056,-0.0123024160045174,-0.0121683244818611,0.522080943884242,0.52208091739173
AS001,NI,primary,R1_primary_dVdI,transition,0.579,0.0746353889131145,0.219928000665837,0.666369291548838,0.666369291548838,0.600122276230569,0.666369291548838
AS001,NI,primary,R1_primary_dVdI,onset,0.8005,0.0638201888117575,0.199649350179959,0.656671819555685,0.656671819555685,0.54315625741091,0.656671819555685
AS001,N0,secondary,R2_secondary_dVdI,lowT,0.3003,0.0890341542690929,0.238168615104191,0.409244579902258,0.409244579902258,0.501204764072391,0.409244579902258
AS001,N0,secondary,R2_secondary_dVdI,transition,0.579,0.061449169953393,0.194476134762371,0.409388313435378,0.409388313435378,0.477188038315418,0.409388313435378
AS001,N0,secondary,R2_secondary_dVdI,onset,0.8005,0.0928890736169286,0.247333172144,0.54645375312538,0.54645375312538,0.42275528439821,0.54645375312538
AS001,NI,secondary,R2_secondary_dVdI,lowT,0.3003,0.0873946218350571,0.233207529087715,0.409244579902258,0.409267655248619,0.501204764072391,0.501204759513387
AS001,NI,secondary,R2_secondary_dVdI,transition,0.579,0.0635379633733405,0.200259874864131,0.409388313435378,0.410184897761622,0.477188038315418,0.477188038244553
AS001,NI,secondary,R2_secondary_dVdI,onset,0.8005,0.0928890736169286,0.247333172144,0.54645375312538,0.54645375312538,0.42275528439821,0.54645375312538
AS004,N0,primary,R1_primary_dVdI,lowT,0.3401,0.0653469298138427,0.218762796101795,0.459589344438234,0.459589344438234,0.752188475608541,0.459589344438234
AS004,N0,primary,R1_primary_dVdI,transition,0.6197,0.013569171662037,0.0983868361446125,0.50197863987664,0.50197863987664,0.666431461692611,0.50197863987664
AS004,N0,primary,R1_primary_dVdI,onset,0.8805,0.00312543572593605,0.0443083208957496,0.6646074906551,0.664607490655101,0.678880272662093,0.664607490655101
AS004,NI,primary,R1_primary_dVdI,lowT,0.3401,0.12862765992556,0.281525105805568,0.459589344438234,0.459671587296862,0.752188475608541,0.752188462659075
AS004,NI,primary,R1_primary_dVdI,transition,0.6197,0.00558485924081166,0.0584111393737112,0.50197863987664,0.503475963227309,0.666431461692611,0.666431461470141
AS004,NI,primary,R1_primary_dVdI,onset,0.8805,0.00326927657821146,0.0450386920131003,0.6646074906551,0.672085626537374,0.678880272662093,0.678880272661941
AS004,N0,secondary,R2_secondary_dVdI,lowT,0.3401,0.651436337153534,0.767539283624578,-0.251863447527387,-0.251863447527387,0.662705875215577,-0.251863447527387
AS004,N0,secondary,R2_secondary_dVdI,transition,0.6197,0.00611213781075468,0.0650803522892281,0.498793326596543,0.498793326596543,0.614355978628044,0.498793326596543
AS004,N0,secondary,R2_secondary_dVdI,onset,0.8805,0.000990023101496716,0.0242052370488445,0.606131079704889,0.606131079704889,0.626850731332685,0.606131079704889
AS004,NI,secondary,R2_secondary_dVdI,lowT,0.3401,0.0721800551620711,0.160453569905274,-0.251863447527387,-0.25160638321139,0.662705875215577,0.662705834739776
AS004,NI,secondary,R2_secondary_dVdI,transition,0.6197,0.0025868230345747,0.0407142721616833,0.498793326596543,0.499845510775818,0.614355978628044,0.614355978471712
AS004,NI,secondary,R2_secondary_dVdI,onset,0.8805,0.000849528298832366,0.0229121415004906,0.606131079704889,0.61698701306323,0.626850731332685,0.626850731332465
