parameter,role,scope,bound_policy
global_Ic_scale,shared_fit_or_shared_scan,AS001_and_AS004_common,bounded_positive_global_scale
shared_temperature_exponent_p,shared_fit_or_shared_scan,AS001_and_AS004_common,bounded_common_shape_exponent
shared_temperature_exponent_q,shared_fit_or_shared_scan,AS001_and_AS004_common,bounded_common_shape_exponent
shared_switching_width,shared_fit_or_shared_scan,AS001_and_AS004_common,bounded_nonnegative_width
shared_iteration_tolerance,shared_fit_or_shared_scan,AS001_and_AS004_common,bounded_solver_tolerance
shared_dissipative_state_resistance,shared_fit_or_shared_scan,AS001_and_AS004_common,bounded_common_dissipative_resistance
device_current_range,measured_device_metadata,device_specific_observed_axis,source_current_axis_only
device_temperature_grid,measured_device_metadata,device_specific_observed_axis,source_temperature_slices_only
device_geometry,measured_device_metadata,device_specific_measured_input,frozen_measured_geometry_or_proxy
device_specific_Ic_scale,prohibited,not_allowed,blocked
device_specific_switching_exponents,prohibited,not_allowed,blocked
thermal_feedback_gain,prohibited_until_phase14C,not_allowed_in_phase14B,blocked
