flux_quanta,B_T,normalized_Ic,expected_period_B_T,loop_active,phase_constraints_active
-2,-0.002067833848,1,0.001033916924,1,1
-1.95,-0.0020161380018,0.987688340595138,0.001033916924,1,1
-1.9,-0.0019644421556,0.951056516295154,0.001033916924,1,1
-1.85,-0.0019127463094,0.891006524188368,0.001033916924,1,1
-1.8,-0.0018610504632,0.809016994374947,0.001033916924,1,1
-1.75,-0.001809354617,0.707106781186547,0.001033916924,1,1
-1.7,-0.0017576587708,0.587785252292473,0.001033916924,1,1
-1.65,-0.0017059629246,0.453990499739547,0.001033916924,1,1
-1.6,-0.0016542670784,0.309016994374947,0.001033916924,1,1
-1.55,-0.0016025712322,0.156434465040231,0.001033916924,1,1
-1.5,-0.001550875386,1.83697019872103e-16,0.001033916924,1,1
-1.45,-0.0014991795398,0.156434465040231,0.001033916924,1,1
-1.4,-0.0014474836936,0.309016994374948,0.001033916924,1,1
-1.35,-0.0013957878474,0.453990499739547,0.001033916924,1,1
-1.3,-0.0013440920012,0.587785252292474,0.001033916924,1,1
-1.25,-0.001292396155,0.707106781186548,0.001033916924,1,1
-1.2,-0.0012407003088,0.809016994374947,0.001033916924,1,1
-1.15,-0.0011890044626,0.891006524188368,0.001033916924,1,1
-1.1,-0.0011373086164,0.951056516295154,0.001033916924,1,1
-1.05,-0.0010856127702,0.987688340595138,0.001033916924,1,1
-1,-0.001033916924,1,0.001033916924,1,1
-0.95,-0.0009822210778,0.987688340595138,0.001033916924,1,1
-0.9,-0.0009305252316,0.951056516295153,0.001033916924,1,1
-0.85,-0.0008788293854,0.891006524188368,0.001033916924,1,1
-0.8,-0.0008271335392,0.809016994374947,0.001033916924,1,1
-0.75,-0.000775437693,0.707106781186547,0.001033916924,1,1
-0.7,-0.0007237418468,0.587785252292473,0.001033916924,1,1
-0.65,-0.0006720460006,0.453990499739546,0.001033916924,1,1
-0.6,-0.0006203501544,0.309016994374947,0.001033916924,1,1
-0.55,-0.0005686543082,0.15643446504023,0.001033916924,1,1
-0.5,-0.000516958462,6.12323399573677e-17,0.001033916924,1,1
-0.45,-0.0004652626158,0.156434465040231,0.001033916924,1,1
-0.4,-0.0004135667696,0.309016994374948,0.001033916924,1,1
-0.35,-0.0003618709234,0.453990499739547,0.001033916924,1,1
-0.3,-0.0003101750772,0.587785252292474,0.001033916924,1,1
-0.25,-0.000258479231,0.707106781186548,0.001033916924,1,1
-0.2,-0.0002067833848,0.809016994374947,0.001033916924,1,1
-0.15,-0.0001550875386,0.891006524188368,0.001033916924,1,1
-0.0999999999999999,-0.0001033916924,0.951056516295154,0.001033916924,1,1
-0.0499999999999998,-5.16958461999998e-05,0.987688340595138,0.001033916924,1,1
0,0,1,0.001033916924,1,1
0.0499999999999998,5.16958461999998e-05,0.987688340595138,0.001033916924,1,1
0.0999999999999999,0.0001033916924,0.951056516295154,0.001033916924,1,1
0.15,0.0001550875386,0.891006524188368,0.001033916924,1,1
0.2,0.0002067833848,0.809016994374947,0.001033916924,1,1
0.25,0.000258479231,0.707106781186548,0.001033916924,1,1
0.3,0.0003101750772,0.587785252292474,0.001033916924,1,1
0.35,0.0003618709234,0.453990499739547,0.001033916924,1,1
0.4,0.0004135667696,0.309016994374948,0.001033916924,1,1
0.45,0.0004652626158,0.156434465040231,0.001033916924,1,1
0.5,0.000516958462,6.12323399573677e-17,0.001033916924,1,1
0.55,0.0005686543082,0.15643446504023,0.001033916924,1,1
0.6,0.0006203501544,0.309016994374947,0.001033916924,1,1
0.65,0.0006720460006,0.453990499739546,0.001033916924,1,1
0.7,0.0007237418468,0.587785252292473,0.001033916924,1,1
0.75,0.000775437693,0.707106781186547,0.001033916924,1,1
0.8,0.0008271335392,0.809016994374947,0.001033916924,1,1
0.85,0.0008788293854,0.891006524188368,0.001033916924,1,1
0.9,0.0009305252316,0.951056516295153,0.001033916924,1,1
0.95,0.0009822210778,0.987688340595138,0.001033916924,1,1
1,0.001033916924,1,0.001033916924,1,1
1.05,0.0010856127702,0.987688340595138,0.001033916924,1,1
1.1,0.0011373086164,0.951056516295154,0.001033916924,1,1
1.15,0.0011890044626,0.891006524188368,0.001033916924,1,1
1.2,0.0012407003088,0.809016994374947,0.001033916924,1,1
1.25,0.001292396155,0.707106781186548,0.001033916924,1,1
1.3,0.0013440920012,0.587785252292474,0.001033916924,1,1
1.35,0.0013957878474,0.453990499739547,0.001033916924,1,1
1.4,0.0014474836936,0.309016994374948,0.001033916924,1,1
1.45,0.0014991795398,0.156434465040231,0.001033916924,1,1
1.5,0.001550875386,1.83697019872103e-16,0.001033916924,1,1
1.55,0.0016025712322,0.156434465040231,0.001033916924,1,1
1.6,0.0016542670784,0.309016994374947,0.001033916924,1,1
1.65,0.0017059629246,0.453990499739547,0.001033916924,1,1
1.7,0.0017576587708,0.587785252292473,0.001033916924,1,1
1.75,0.001809354617,0.707106781186547,0.001033916924,1,1
1.8,0.0018610504632,0.809016994374947,0.001033916924,1,1
1.85,0.0019127463094,0.891006524188368,0.001033916924,1,1
1.9,0.0019644421556,0.951056516295154,0.001033916924,1,1
1.95,0.0020161380018,0.987688340595138,0.001033916924,1,1
2,0.002067833848,1,0.001033916924,1,1
