device,parameter,device_information_score
AS001,Tc_scale,0.56
AS001,Tc_heterogeneity_amplitude,0.38
AS001,W_boundary_class,0.28
AS001,W_coverage_class,0.2
AS001,W_crack_class,0.08
AS001,residual_shunt,0.46
AS001,Ic0_scale,0.44
AS001,B_supp_scale,0
AS002,Tc_scale,0.62
AS002,Tc_heterogeneity_amplitude,0.46
AS002,W_boundary_class,0.16
AS002,W_coverage_class,0.18
AS002,W_crack_class,0.04
AS002,residual_shunt,0.54
AS002,Ic0_scale,0.06
AS002,B_supp_scale,0
AS003,Tc_scale,0.58
AS003,Tc_heterogeneity_amplitude,0.32
AS003,W_boundary_class,0.12
AS003,W_coverage_class,0.16
AS003,W_crack_class,0.02
AS003,residual_shunt,0.6
AS003,Ic0_scale,0.04
AS003,B_supp_scale,0
AS004,Tc_scale,0.48
AS004,Tc_heterogeneity_amplitude,0.34
AS004,W_boundary_class,0.64
AS004,W_coverage_class,0.36
AS004,W_crack_class,0.1
AS004,residual_shunt,0.42
AS004,Ic0_scale,0.76
AS004,B_supp_scale,0
AS005,Tc_scale,0.3
AS005,Tc_heterogeneity_amplitude,0.28
AS005,W_boundary_class,0.34
AS005,W_coverage_class,0.2
AS005,W_crack_class,0.88
AS005,residual_shunt,0.28
AS005,Ic0_scale,0.18
AS005,B_supp_scale,0
AS006,Tc_scale,0.42
AS006,Tc_heterogeneity_amplitude,0.3
AS006,W_boundary_class,0.72
AS006,W_coverage_class,0.44
AS006,W_crack_class,0.1
AS006,residual_shunt,0.2
AS006,Ic0_scale,0.62
AS006,B_supp_scale,0.94
