parameter_i,parameter_j,information_value
Tc_scale,Tc_scale,1.03587
Tc_scale,Tc_heterogeneity_amplitude,0.88318
Tc_scale,W_boundary_class,0.47134
Tc_scale,W_coverage_class,0.52754
Tc_scale,W_crack_class,0.24304
Tc_scale,residual_shunt,-0.11778
Tc_scale,Ic0_scale,0.22032
Tc_scale,B_supp_scale,0.00374
Tc_heterogeneity_amplitude,Tc_scale,0.88318
Tc_heterogeneity_amplitude,Tc_heterogeneity_amplitude,1.41692
Tc_heterogeneity_amplitude,W_boundary_class,0.94608
Tc_heterogeneity_amplitude,W_coverage_class,0.9856
Tc_heterogeneity_amplitude,W_crack_class,0.5246
Tc_heterogeneity_amplitude,residual_shunt,0.564
Tc_heterogeneity_amplitude,Ic0_scale,0.59608
Tc_heterogeneity_amplitude,B_supp_scale,0.09768
W_boundary_class,Tc_scale,0.47134
W_boundary_class,Tc_heterogeneity_amplitude,0.94608
W_boundary_class,W_boundary_class,1.50456
W_boundary_class,W_coverage_class,1.09
W_boundary_class,W_crack_class,0.77476
W_boundary_class,residual_shunt,0.61388
W_boundary_class,Ic0_scale,1.69192
W_boundary_class,B_supp_scale,0.8692
W_coverage_class,Tc_scale,0.52754
W_coverage_class,Tc_heterogeneity_amplitude,0.9856
W_coverage_class,W_boundary_class,1.09
W_coverage_class,W_coverage_class,0.93128
W_coverage_class,W_crack_class,0.57204
W_coverage_class,residual_shunt,0.54692
W_coverage_class,Ic0_scale,1.01786
W_coverage_class,B_supp_scale,0.45282
W_crack_class,Tc_scale,0.24304
W_crack_class,Tc_heterogeneity_amplitude,0.5246
W_crack_class,W_boundary_class,0.77476
W_crack_class,W_coverage_class,0.57204
W_crack_class,W_crack_class,0.42452
W_crack_class,residual_shunt,0.34752
W_crack_class,Ic0_scale,0.82238
W_crack_class,B_supp_scale,0.31234
residual_shunt,Tc_scale,-0.11778
residual_shunt,Tc_heterogeneity_amplitude,0.564
residual_shunt,W_boundary_class,0.61388
residual_shunt,W_coverage_class,0.54692
residual_shunt,W_crack_class,0.34752
residual_shunt,residual_shunt,1.30748
residual_shunt,Ic0_scale,0.51984
residual_shunt,B_supp_scale,0.10316
Ic0_scale,Tc_scale,0.22032
Ic0_scale,Tc_heterogeneity_amplitude,0.59608
Ic0_scale,W_boundary_class,1.69192
Ic0_scale,W_coverage_class,1.01786
Ic0_scale,W_crack_class,0.82238
Ic0_scale,residual_shunt,0.51984
Ic0_scale,Ic0_scale,2.41291
Ic0_scale,B_supp_scale,1.39742
B_supp_scale,Tc_scale,0.00374
B_supp_scale,Tc_heterogeneity_amplitude,0.09768
B_supp_scale,W_boundary_class,0.8692
B_supp_scale,W_coverage_class,0.45282
B_supp_scale,W_crack_class,0.31234
B_supp_scale,residual_shunt,0.10316
B_supp_scale,Ic0_scale,1.39742
B_supp_scale,B_supp_scale,2.88579
