observable,parameter,local_derivative,derivative_class
RT_T50,Tc_scale,3.68,strongly_nonlinear_or_threshold_sensitive
RT_T50,Tc_heterogeneity_amplitude,1.31428571428571,locally_linear
RT_T50,W_boundary_class,0.9,locally_linear
RT_T50,W_coverage_class,1.1,locally_linear
RT_T50,W_crack_class,0.2,locally_linear
RT_T50,residual_shunt,-1.73333333333333,locally_linear_low_response
RT_T50,Ic0_scale,0.08,locally_linear_low_response
RT_T50,B_supp_scale,0,locally_linear_low_response
RT_width,Tc_scale,1.36,locally_linear_low_response
RT_width,Tc_heterogeneity_amplitude,2.51428571428571,locally_linear_low_response
RT_width,W_boundary_class,1.4,locally_linear_low_response
RT_width,W_coverage_class,2.1,locally_linear_low_response
RT_width,W_crack_class,0.4,weakly_nonlinear
RT_width,residual_shunt,1.2,strongly_nonlinear_or_threshold_sensitive
RT_width,Ic0_scale,0.16,locally_linear
RT_width,B_supp_scale,0,locally_linear
RT_lowT_floor,Tc_scale,0.8,locally_linear
RT_lowT_floor,Tc_heterogeneity_amplitude,0.857142857142857,locally_linear
RT_lowT_floor,W_boundary_class,0.9,locally_linear
RT_lowT_floor,W_coverage_class,1.1,locally_linear
RT_lowT_floor,W_crack_class,0.25,locally_linear_low_response
RT_lowT_floor,residual_shunt,2.8,locally_linear_low_response
RT_lowT_floor,Ic0_scale,0.08,locally_linear_low_response
RT_lowT_floor,B_supp_scale,0,locally_linear_low_response
RT_probe_asymmetry,Tc_scale,0.48,locally_linear
RT_probe_asymmetry,Tc_heterogeneity_amplitude,1.2,locally_linear
RT_probe_asymmetry,W_boundary_class,1.8,locally_linear
RT_probe_asymmetry,W_coverage_class,2.4,locally_linear
RT_probe_asymmetry,W_crack_class,0.55,weakly_nonlinear
RT_probe_asymmetry,residual_shunt,0.6,weakly_nonlinear
RT_probe_asymmetry,Ic0_scale,0.16,locally_linear
RT_probe_asymmetry,B_supp_scale,0,locally_linear
IT_Ic_temperature_scale,Tc_scale,0.4,locally_linear
IT_Ic_temperature_scale,Tc_heterogeneity_amplitude,0.457142857142857,locally_linear
IT_Ic_temperature_scale,W_boundary_class,2.8,locally_linear
IT_Ic_temperature_scale,W_coverage_class,1.7,locally_linear
IT_Ic_temperature_scale,W_crack_class,0.65,locally_linear
IT_Ic_temperature_scale,residual_shunt,0.4,locally_linear
IT_Ic_temperature_scale,Ic0_scale,3.64,locally_linear
IT_Ic_temperature_scale,B_supp_scale,0.1,weakly_nonlinear
IT_switching_width,Tc_scale,0.2,locally_linear
IT_switching_width,Tc_heterogeneity_amplitude,0.628571428571429,locally_linear
IT_switching_width,W_boundary_class,2.3,locally_linear
IT_switching_width,W_coverage_class,1.5,locally_linear
IT_switching_width,W_crack_class,0.6,locally_linear
IT_switching_width,residual_shunt,0.6,locally_linear
IT_switching_width,Ic0_scale,2.48,locally_linear_low_response
IT_switching_width,B_supp_scale,0.1,locally_linear
IT_low_current_curvature,Tc_scale,0.24,locally_linear_low_response
IT_low_current_curvature,Tc_heterogeneity_amplitude,0.514285714285714,locally_linear
IT_low_current_curvature,W_boundary_class,1.9,locally_linear
IT_low_current_curvature,W_coverage_class,1.3,locally_linear
IT_low_current_curvature,W_crack_class,0.45,locally_linear
IT_low_current_curvature,residual_shunt,0.933333333333333,locally_linear
IT_low_current_curvature,Ic0_scale,1.68,locally_linear
IT_low_current_curvature,B_supp_scale,0,locally_linear
IT_channel_asymmetry,Tc_scale,0.16,locally_linear
IT_channel_asymmetry,Tc_heterogeneity_amplitude,0.571428571428572,locally_linear_low_response
IT_channel_asymmetry,W_boundary_class,2.2,locally_linear_low_response
IT_channel_asymmetry,W_coverage_class,1.1,locally_linear
IT_channel_asymmetry,W_crack_class,0.85,weakly_nonlinear
IT_channel_asymmetry,residual_shunt,0.533333333333333,locally_linear
