observable,parameter,normalized_sensitivity,derivative_class
RT_T50,Tc_scale,0.92,strongly_nonlinear_or_threshold_sensitive
RT_T50,Tc_heterogeneity_amplitude,0.46,locally_linear
RT_T50,W_boundary_class,0.18,locally_linear
RT_T50,W_coverage_class,0.22,locally_linear
RT_T50,W_crack_class,0.08,locally_linear
RT_T50,residual_shunt,-0.52,locally_linear_low_response
RT_T50,Ic0_scale,0.02,locally_linear_low_response
RT_T50,B_supp_scale,0,locally_linear_low_response
RT_width,Tc_scale,0.34,locally_linear_low_response
RT_width,Tc_heterogeneity_amplitude,0.88,locally_linear_low_response
RT_width,W_boundary_class,0.28,locally_linear_low_response
RT_width,W_coverage_class,0.42,locally_linear_low_response
RT_width,W_crack_class,0.16,weakly_nonlinear
RT_width,residual_shunt,0.36,strongly_nonlinear_or_threshold_sensitive
RT_width,Ic0_scale,0.04,locally_linear
RT_width,B_supp_scale,0,locally_linear
RT_lowT_floor,Tc_scale,0.2,locally_linear
RT_lowT_floor,Tc_heterogeneity_amplitude,0.3,locally_linear
RT_lowT_floor,W_boundary_class,0.18,locally_linear
RT_lowT_floor,W_coverage_class,0.22,locally_linear
RT_lowT_floor,W_crack_class,0.1,locally_linear_low_response
RT_lowT_floor,residual_shunt,0.84,locally_linear_low_response
RT_lowT_floor,Ic0_scale,0.02,locally_linear_low_response
RT_lowT_floor,B_supp_scale,0,locally_linear_low_response
RT_probe_asymmetry,Tc_scale,0.12,locally_linear
RT_probe_asymmetry,Tc_heterogeneity_amplitude,0.42,locally_linear
RT_probe_asymmetry,W_boundary_class,0.36,locally_linear
RT_probe_asymmetry,W_coverage_class,0.48,locally_linear
RT_probe_asymmetry,W_crack_class,0.22,weakly_nonlinear
RT_probe_asymmetry,residual_shunt,0.18,weakly_nonlinear
RT_probe_asymmetry,Ic0_scale,0.04,locally_linear
RT_probe_asymmetry,B_supp_scale,0,locally_linear
IT_Ic_temperature_scale,Tc_scale,0.1,locally_linear
IT_Ic_temperature_scale,Tc_heterogeneity_amplitude,0.16,locally_linear
IT_Ic_temperature_scale,W_boundary_class,0.56,locally_linear
IT_Ic_temperature_scale,W_coverage_class,0.34,locally_linear
IT_Ic_temperature_scale,W_crack_class,0.26,locally_linear
IT_Ic_temperature_scale,residual_shunt,0.12,locally_linear
IT_Ic_temperature_scale,Ic0_scale,0.91,locally_linear
IT_Ic_temperature_scale,B_supp_scale,0.02,weakly_nonlinear
IT_switching_width,Tc_scale,0.05,locally_linear
IT_switching_width,Tc_heterogeneity_amplitude,0.22,locally_linear
IT_switching_width,W_boundary_class,0.46,locally_linear
IT_switching_width,W_coverage_class,0.3,locally_linear
IT_switching_width,W_crack_class,0.24,locally_linear
IT_switching_width,residual_shunt,0.18,locally_linear
IT_switching_width,Ic0_scale,0.62,locally_linear_low_response
IT_switching_width,B_supp_scale,0.02,locally_linear
IT_low_current_curvature,Tc_scale,0.06,locally_linear_low_response
IT_low_current_curvature,Tc_heterogeneity_amplitude,0.18,locally_linear
IT_low_current_curvature,W_boundary_class,0.38,locally_linear
IT_low_current_curvature,W_coverage_class,0.26,locally_linear
IT_low_current_curvature,W_crack_class,0.18,locally_linear
IT_low_current_curvature,residual_shunt,0.28,locally_linear
IT_low_current_curvature,Ic0_scale,0.42,locally_linear
IT_low_current_curvature,B_supp_scale,0,locally_linear
IT_channel_asymmetry,Tc_scale,0.04,locally_linear
IT_channel_asymmetry,Tc_heterogeneity_amplitude,0.2,locally_linear_low_response
IT_channel_asymmetry,W_boundary_class,0.44,locally_linear_low_response
IT_channel_asymmetry,W_coverage_class,0.22,locally_linear
IT_channel_asymmetry,W_crack_class,0.34,weakly_nonlinear
IT_channel_asymmetry,residual_shunt,0.16,locally_linear
IT_channel_asymmetry,Ic0_scale,0.4,strongly_nonlinear_or_threshold_sensitive
IT_channel_asymmetry,B_supp_scale,0.01,locally_linear
IB_Ic_field_envelope,Tc_scale,0,locally_linear
IB_Ic_field_envelope,Tc_heterogeneity_amplitude,0.04,locally_linear
IB_Ic_field_envelope,W_boundary_class,0.28,locally_linear
IB_Ic_field_envelope,W_coverage_class,0.14,locally_linear
IB_Ic_field_envelope,W_crack_class,0.1,locally_linear_low_response
IB_Ic_field_envelope,residual_shunt,0.04,locally_linear_low_response
IB_Ic_field_envelope,Ic0_scale,0.6,locally_linear_low_response
IB_Ic_field_envelope,B_supp_scale,0.94,locally_linear_low_response
IB_low_current_field_response,Tc_scale,0,locally_linear_low_response
IB_low_current_field_response,Tc_heterogeneity_amplitude,0.02,locally_linear_low_response
IB_low_current_field_response,W_boundary_class,0.2,locally_linear_low_response
IB_low_current_field_response,W_coverage_class,0.1,locally_linear_low_response
IB_low_current_field_response,W_crack_class,0.08,strongly_nonlinear_or_threshold_sensitive
IB_low_current_field_response,residual_shunt,0.02,weakly_nonlinear
IB_low_current_field_response,Ic0_scale,0.36,locally_linear
IB_low_current_field_response,B_supp_scale,0.88,locally_linear
IB_high_current_field_response,Tc_scale,0,weakly_nonlinear
IB_high_current_field_response,Tc_heterogeneity_amplitude,0,locally_linear
IB_high_current_field_response,W_boundary_class,0.12,locally_linear
IB_high_current_field_response,W_coverage_class,0.08,locally_linear
IB_high_current_field_response,W_crack_class,0.04,locally_linear_low_response
IB_high_current_field_response,residual_shunt,0.01,locally_linear_low_response
IB_high_current_field_response,Ic0_scale,0.14,locally_linear_low_response
IB_high_current_field_response,B_supp_scale,0.64,locally_linear_low_response
IB_R1_R2_difference,Tc_scale,0,locally_linear_low_response
IB_R1_R2_difference,Tc_heterogeneity_amplitude,0.03,locally_linear_low_response
IB_R1_R2_difference,W_boundary_class,0.32,locally_linear_low_response
IB_R1_R2_difference,W_coverage_class,0.16,locally_linear_low_response
IB_R1_R2_difference,W_crack_class,0.1,strongly_nonlinear_or_threshold_sensitive
IB_R1_R2_difference,residual_shunt,0.03,strongly_nonlinear_or_threshold_sensitive
IB_R1_R2_difference,Ic0_scale,0.28,weakly_nonlinear
IB_R1_R2_difference,B_supp_scale,0.58,weakly_nonlinear
