parameter,family,mean_abs_sensitivity
Tc_scale,RT,0.395
Tc_scale,IT,0.0625
Tc_scale,IB,0
Tc_heterogeneity_amplitude,RT,0.515
Tc_heterogeneity_amplitude,IT,0.19
Tc_heterogeneity_amplitude,IB,0.0225
W_boundary_class,RT,0.25
W_boundary_class,IT,0.46
W_boundary_class,IB,0.23
W_coverage_class,RT,0.335
W_coverage_class,IT,0.28
W_coverage_class,IB,0.12
W_crack_class,RT,0.14
W_crack_class,IT,0.255
W_crack_class,IB,0.08
residual_shunt,RT,0.475
residual_shunt,IT,0.185
residual_shunt,IB,0.025
Ic0_scale,RT,0.03
Ic0_scale,IT,0.5875
Ic0_scale,IB,0.345
B_supp_scale,RT,0
B_supp_scale,IT,0.0125
B_supp_scale,IB,0.76
