parameter_i,parameter_j,correlation
Tc_scale,Tc_scale,1
Tc_scale,Tc_heterogeneity_amplitude,-0.646483286379376
Tc_scale,W_boundary_class,-0.342092649314113
Tc_scale,W_coverage_class,0.264296482775223
Tc_scale,W_crack_class,0.334545308172252
Tc_scale,residual_shunt,0.609854783624408
Tc_scale,Ic0_scale,0.212678734016842
Tc_scale,B_supp_scale,0.168683291715631
Tc_heterogeneity_amplitude,Tc_scale,-0.646483286379369
Tc_heterogeneity_amplitude,Tc_heterogeneity_amplitude,1
Tc_heterogeneity_amplitude,W_boundary_class,0.431385096240377
Tc_heterogeneity_amplitude,W_coverage_class,-0.715260973308731
Tc_heterogeneity_amplitude,W_crack_class,-0.33509906455266
Tc_heterogeneity_amplitude,residual_shunt,-0.317773939264836
Tc_heterogeneity_amplitude,Ic0_scale,-0.106294776602754
Tc_heterogeneity_amplitude,B_supp_scale,-0.105541216674887
W_boundary_class,Tc_scale,-0.342092649314102
W_boundary_class,Tc_heterogeneity_amplitude,0.431385096240381
W_boundary_class,W_boundary_class,1
W_boundary_class,W_coverage_class,-0.753408614118136
W_boundary_class,W_crack_class,-0.810438729370056
W_boundary_class,residual_shunt,-0.118743781257076
W_boundary_class,Ic0_scale,-0.789666472283238
W_boundary_class,B_supp_scale,-0.373433820483447
W_coverage_class,Tc_scale,0.264296482775208
W_coverage_class,Tc_heterogeneity_amplitude,-0.715260973308726
W_coverage_class,W_boundary_class,-0.753408614118119
W_coverage_class,W_coverage_class,1
W_coverage_class,W_crack_class,0.393899885131387
W_coverage_class,residual_shunt,0.00354170226355591
W_coverage_class,Ic0_scale,0.513013841723728
W_coverage_class,B_supp_scale,0.143205926543306
W_crack_class,Tc_scale,0.334545308172247
W_crack_class,Tc_heterogeneity_amplitude,-0.335099064552669
W_crack_class,W_boundary_class,-0.810438729370068
W_crack_class,W_coverage_class,0.393899885131412
W_crack_class,W_crack_class,1
W_crack_class,residual_shunt,0.0958830036135768
W_crack_class,Ic0_scale,0.435897195713134
W_crack_class,B_supp_scale,0.493467888886788
residual_shunt,Tc_scale,0.609854783624418
residual_shunt,Tc_heterogeneity_amplitude,-0.317773939264846
residual_shunt,W_boundary_class,-0.118743781257092
residual_shunt,W_coverage_class,0.0035417022635678
residual_shunt,W_crack_class,0.095883003613589
residual_shunt,residual_shunt,1
residual_shunt,Ic0_scale,0.11213373768396
residual_shunt,B_supp_scale,0.107941588247389
Ic0_scale,Tc_scale,0.212678734016831
Ic0_scale,Tc_heterogeneity_amplitude,-0.106294776602756
Ic0_scale,W_boundary_class,-0.789666472283238
Ic0_scale,W_coverage_class,0.51301384172374
Ic0_scale,W_crack_class,0.435897195713125
Ic0_scale,residual_shunt,0.112133737683944
Ic0_scale,Ic0_scale,1
Ic0_scale,B_supp_scale,0.0405969590418591
B_supp_scale,Tc_scale,0.168683291715636
B_supp_scale,Tc_heterogeneity_amplitude,-0.105541216674896
B_supp_scale,W_boundary_class,-0.373433820483457
B_supp_scale,W_coverage_class,0.143205926543321
B_supp_scale,W_crack_class,0.49346788888679
B_supp_scale,residual_shunt,0.107941588247389
B_supp_scale,Ic0_scale,0.0405969590418685
B_supp_scale,B_supp_scale,1
