parameter,step_fraction,direction,classification_policy
Tc_scale,0.01,minus_plus,central_difference_multiscale_linearity_check
Tc_scale,0.05,minus_plus,central_difference_multiscale_linearity_check
Tc_scale,0.1,minus_plus,central_difference_multiscale_linearity_check
Tc_heterogeneity_amplitude,0.01,minus_plus,central_difference_multiscale_linearity_check
Tc_heterogeneity_amplitude,0.05,minus_plus,central_difference_multiscale_linearity_check
Tc_heterogeneity_amplitude,0.1,minus_plus,central_difference_multiscale_linearity_check
W_boundary_class,0.01,minus_plus,central_difference_multiscale_linearity_check
W_boundary_class,0.05,minus_plus,central_difference_multiscale_linearity_check
W_boundary_class,0.1,minus_plus,central_difference_multiscale_linearity_check
W_coverage_class,0.01,minus_plus,central_difference_multiscale_linearity_check
W_coverage_class,0.05,minus_plus,central_difference_multiscale_linearity_check
W_coverage_class,0.1,minus_plus,central_difference_multiscale_linearity_check
W_crack_class,0.01,minus_plus,central_difference_multiscale_linearity_check
W_crack_class,0.05,minus_plus,central_difference_multiscale_linearity_check
W_crack_class,0.1,minus_plus,central_difference_multiscale_linearity_check
residual_shunt,0.01,minus_plus,central_difference_multiscale_linearity_check
residual_shunt,0.05,minus_plus,central_difference_multiscale_linearity_check
residual_shunt,0.1,minus_plus,central_difference_multiscale_linearity_check
Ic0_scale,0.01,minus_plus,central_difference_multiscale_linearity_check
Ic0_scale,0.05,minus_plus,central_difference_multiscale_linearity_check
Ic0_scale,0.1,minus_plus,central_difference_multiscale_linearity_check
B_supp_scale,0.01,minus_plus,central_difference_multiscale_linearity_check
B_supp_scale,0.05,minus_plus,central_difference_multiscale_linearity_check
B_supp_scale,0.1,minus_plus,central_difference_multiscale_linearity_check
