mode,parameter,loading
1,Tc_scale,-0.174727019700025
1,Tc_heterogeneity_amplitude,-0.33518600319811
1,W_boundary_class,-0.471461368446326
1,W_coverage_class,-0.355165428795319
1,W_crack_class,-0.237930130983955
1,residual_shunt,-0.216469416722731
1,Ic0_scale,-0.529502279847243
1,B_supp_scale,-0.353355469928554
2,Tc_scale,0.339043162827563
2,Tc_heterogeneity_amplitude,0.466835335680579
2,W_boundary_class,0.0658189058011316
2,W_coverage_class,0.211467925127
2,W_crack_class,0.0814016287476544
2,residual_shunt,0.179500104779228
2,Ic0_scale,-0.234663729392396
2,B_supp_scale,-0.723982121816993
3,Tc_scale,-0.592903385065965
3,Tc_heterogeneity_amplitude,-0.221766743811585
3,W_boundary_class,0.0684252459474509
3,W_coverage_class,-0.0184841122832179
3,W_crack_class,0.0654505149366469
3,residual_shunt,0.683190692755983
3,Ic0_scale,0.179938799436877
3,B_supp_scale,-0.301413580500287
4,Tc_scale,-0.0299859908492433
4,Tc_heterogeneity_amplitude,-0.30603682408521
4,W_boundary_class,0.200696749591759
4,W_coverage_class,-0.0478180246020351
4,W_crack_class,0.114711257618118
4,residual_shunt,-0.528749896949967
4,Ic0_scale,0.55978159757087
4,B_supp_scale,-0.506740555664498
5,Tc_scale,0.667456931253433
5,Tc_heterogeneity_amplitude,-0.312192111907024
5,W_boundary_class,-0.180482029799521
5,W_coverage_class,-0.347273946492042
5,W_crack_class,-0.195520778087249
5,residual_shunt,0.413096948851098
5,Ic0_scale,0.307126986601441
5,B_supp_scale,-0.0256889758312469
6,Tc_scale,-0.230864964990959
6,Tc_heterogeneity_amplitude,0.608427559255095
6,W_boundary_class,-0.445265512584032
6,W_coverage_class,-0.245511354173023
6,W_crack_class,-0.33786990412045
6,residual_shunt,-0.0615868667804791
6,Ic0_scale,0.44649412960091
6,B_supp_scale,-0.0259624597399156
7,Tc_scale,0.0113512696015269
7,Tc_heterogeneity_amplitude,-0.21689971294326
7,W_boundary_class,-0.118262269272241
7,W_coverage_class,0.712567180896863
7,W_crack_class,-0.650561850700416
7,residual_shunt,-0.00476187661780657
7,Ic0_scale,0.0801846861696473
7,B_supp_scale,-0.0374797362189717
8,Tc_scale,-0.0562172588859212
8,Tc_heterogeneity_amplitude,0.110374776059461
8,W_boundary_class,0.695420553342722
8,W_coverage_class,-0.371326813893163
8,W_crack_class,-0.586263947993077
8,residual_shunt,-0.0114026767085834
8,Ic0_scale,-0.13679650455828
8,B_supp_scale,-0.0247983562705052
