parameter,grid_index,theta_value,profile_objective,objective_delta,support
Tc_scale,1,0.9,0.00248215706944246,0.00248215706944246,1
Tc_scale,2,0.905,0.00224014675517182,0.00224014675517182,1
Tc_scale,3,0.91,0.00201054722624839,0.00201054722624839,1
Tc_scale,4,0.915,0.00179335848267218,0.00179335848267218,1
Tc_scale,5,0.92,0.00158858052444317,0.00158858052444317,1
Tc_scale,6,0.925,0.00139621335156138,0.00139621335156138,1
Tc_scale,7,0.93,0.0012162569640268,0.0012162569640268,1
Tc_scale,8,0.935,0.00104871136183944,0.00104871136183944,1
Tc_scale,9,0.94,0.000893576544999285,0.000893576544999285,1
Tc_scale,10,0.945,0.000750852513506342,0.000750852513506342,1
Tc_scale,11,0.95,0.000620539267360613,0.000620539267360613,1
Tc_scale,12,0.955,0.000502636806562097,0.000502636806562097,1
Tc_scale,13,0.96,0.000397145131110792,0.000397145131110792,1
Tc_scale,14,0.965,0.0003040642410067,0.0003040642410067,1
Tc_scale,15,0.97,0.00022339413624982,0.00022339413624982,1
Tc_scale,16,0.975,0.000155134816840153,0.000155134816840153,1
Tc_scale,17,0.98,9.92862827776975e-05,9.92862827776975e-05,1
Tc_scale,18,0.985,5.58485340624547e-05,5.58485340624547e-05,1
Tc_scale,19,0.99,2.48215706944242e-05,2.48215706944242e-05,1
Tc_scale,20,0.995,6.20539267360588e-06,6.20539267360588e-06,1
Tc_scale,21,1,0,0,1
Tc_scale,22,1.005,6.20539267360641e-06,6.20539267360641e-06,1
Tc_scale,23,1.01,2.48215706944246e-05,2.48215706944246e-05,1
Tc_scale,24,1.015,5.58485340624563e-05,5.58485340624563e-05,1
Tc_scale,25,1.02,9.92862827776984e-05,9.92862827776984e-05,1
Tc_scale,26,1.025,0.000155134816840155,0.000155134816840155,1
Tc_scale,27,1.03,0.000223394136249822,0.000223394136249822,1
Tc_scale,28,1.035,0.000304064241006704,0.000304064241006704,1
Tc_scale,29,1.04,0.000397145131110795,0.000397145131110795,1
Tc_scale,30,1.045,0.000502636806562102,0.000502636806562102,1
Tc_scale,31,1.05,0.000620539267360616,0.000620539267360616,1
Tc_scale,32,1.055,0.000750852513506349,0.000750852513506349,1
Tc_scale,33,1.06,0.000893576544999288,0.000893576544999288,1
Tc_scale,34,1.065,0.00104871136183944,0.00104871136183944,1
Tc_scale,35,1.07,0.00121625696402681,0.00121625696402681,1
Tc_scale,36,1.075,0.00139621335156139,0.00139621335156139,1
Tc_scale,37,1.08,0.00158858052444318,0.00158858052444318,1
Tc_scale,38,1.085,0.00179335848267218,0.00179335848267218,1
Tc_scale,39,1.09,0.00201054722624839,0.00201054722624839,1
Tc_scale,40,1.095,0.00224014675517183,0.00224014675517183,1
Tc_scale,41,1.1,0.00248215706944246,0.00248215706944246,1
Tc_heterogeneity_amplitude,1,0.35,0.0577068319320331,0.0577061672524671,1
Tc_heterogeneity_amplitude,2,0.38625,0.0502620311741006,0.0502613664945346,1
Tc_heterogeneity_amplitude,3,0.4225,0.0437816123156125,0.0437809476360464,1
Tc_heterogeneity_amplitude,4,0.45875,0.0377731909200367,0.0377725262404707,1
Tc_heterogeneity_amplitude,5,0.495,0.0322367669873734,0.0322361023078074,1
Tc_heterogeneity_amplitude,6,0.53125,0.0271723405176224,0.0271716758380564,1
Tc_heterogeneity_amplitude,7,0.5675,0.022579911510784,0.022579246831218,1
Tc_heterogeneity_amplitude,8,0.60375,0.0184594799668579,0.0184588152872919,1
Tc_heterogeneity_amplitude,9,0.64,0.0148110458858441,0.0148103812062781,1
Tc_heterogeneity_amplitude,10,0.67625,0.0116346092677427,0.0116339445881767,1
Tc_heterogeneity_amplitude,11,0.7125,0.00893005214784897,0.00892938746828294,1
Tc_heterogeneity_amplitude,12,0.74875,0.00670667286252707,0.00670600818296104,1
Tc_heterogeneity_amplitude,13,0.785,0.00491251981411817,0.00491185513455215,1
Tc_heterogeneity_amplitude,14,0.82125,0.00339667864282677,0.00339601396326074,1
Tc_heterogeneity_amplitude,15,0.8575,0.00215924641844509,0.00215858173887906,1
Tc_heterogeneity_amplitude,16,0.89375,0.0012005774661391,0.00119991278657307,1
Tc_heterogeneity_amplitude,17,0.93,0.000521108779766399,0.00052044410020037,1
Tc_heterogeneity_amplitude,18,0.96625,0.000121137850908707,0.000120473171342678,1
Tc_heterogeneity_amplitude,19,1.0025,6.64679566028552e-07,0,1
Tc_heterogeneity_amplitude,20,1.03875,0.000159689265738365,0.000159024586172337,1
Tc_heterogeneity_amplitude,21,1.075,0.000598211609425716,0.000597546929859688,1
Tc_heterogeneity_amplitude,22,1.11125,0.00131623171062808,0.00131556703106205,1
Tc_heterogeneity_amplitude,23,1.1475,0.00231338061091554,0.00231271593134951,1
Tc_heterogeneity_amplitude,24,1.18375,0.00358920303784668,0.00358853835828065,1
Tc_heterogeneity_amplitude,25,1.22,0.00514345343102023,0.0051427887514542,1
Tc_heterogeneity_amplitude,26,1.25625,0.00697597413190182,0.00697530945233579,1
Tc_heterogeneity_amplitude,27,1.2925,0.00927513452260883,0.0092744698430428,1
Tc_heterogeneity_amplitude,28,1.32875,0.0120446767761306,0.0120440120965645,1
Tc_heterogeneity_amplitude,29,1.365,0.0152862164925646,0.0152855518129986,1
Tc_heterogeneity_amplitude,30,1.40125,0.0189997536719112,0.0189990889923451,1
Tc_heterogeneity_amplitude,31,1.4375,0.02318528831417,0.0231846236346039,1
Tc_heterogeneity_amplitude,32,1.47375,0.0278428204193412,0.0278421557397752,1
Tc_heterogeneity_amplitude,33,1.51,0.0329723499874249,0.0329716853078588,1
Tc_heterogeneity_amplitude,34,1.54625,0.0385738770184209,0.0385732123388549,1
