parameter_i,parameter_j,correlation
Tc_scale,Tc_scale,1
Tc_scale,Tc_heterogeneity_amplitude,-0.0392941319933504
Tc_scale,W_boundary_class,0.0461452861927751
Tc_scale,W_coverage_class,-0.0482594964903783
Tc_scale,W_crack_class,-0.00135878991974284
Tc_scale,residual_shunt,-0.0169591255185033
Tc_scale,Ic0_scale,-0.0213167898969817
Tc_scale,B_supp_scale,-0.023428841513836
Tc_heterogeneity_amplitude,Tc_scale,-0.0392941319933504
Tc_heterogeneity_amplitude,Tc_heterogeneity_amplitude,1
Tc_heterogeneity_amplitude,W_boundary_class,-0.146942759848416
Tc_heterogeneity_amplitude,W_coverage_class,-0.130394242133468
Tc_heterogeneity_amplitude,W_crack_class,-0.0679231415651132
Tc_heterogeneity_amplitude,residual_shunt,-0.0654557895138305
Tc_heterogeneity_amplitude,Ic0_scale,0.0210895540996594
Tc_heterogeneity_amplitude,B_supp_scale,0.0170045420983893
W_boundary_class,Tc_scale,0.0461452861927751
W_boundary_class,Tc_heterogeneity_amplitude,-0.146942759848417
W_boundary_class,W_boundary_class,1
W_boundary_class,W_coverage_class,-0.167499819619524
W_boundary_class,W_crack_class,-0.0825778396559735
W_boundary_class,residual_shunt,-0.0918042992744774
W_boundary_class,Ic0_scale,-0.288912047028788
W_boundary_class,B_supp_scale,-0.105926187148929
W_coverage_class,Tc_scale,-0.0482594964903783
W_coverage_class,Tc_heterogeneity_amplitude,-0.130394242133468
W_coverage_class,W_boundary_class,-0.167499819619524
W_coverage_class,W_coverage_class,1
W_coverage_class,W_crack_class,-0.0629331510617105
W_coverage_class,residual_shunt,-0.0844399265602345
W_coverage_class,Ic0_scale,-0.117173942568305
W_coverage_class,B_supp_scale,-0.0342385042393903
W_crack_class,Tc_scale,-0.00135878991974285
W_crack_class,Tc_heterogeneity_amplitude,-0.0679231415651132
W_crack_class,W_boundary_class,-0.0825778396559735
W_crack_class,W_coverage_class,-0.0629331510617105
W_crack_class,W_crack_class,1
W_crack_class,residual_shunt,-0.0152312470886897
W_crack_class,Ic0_scale,-0.13576800445184
W_crack_class,B_supp_scale,-0.00316865708537564
residual_shunt,Tc_scale,-0.0169591255185033
residual_shunt,Tc_heterogeneity_amplitude,-0.0654557895138304
residual_shunt,W_boundary_class,-0.0918042992744774
residual_shunt,W_coverage_class,-0.0844399265602345
residual_shunt,W_crack_class,-0.0152312470886897
residual_shunt,residual_shunt,1
residual_shunt,Ic0_scale,-0.0343646801245264
residual_shunt,B_supp_scale,0.0242971270007167
Ic0_scale,Tc_scale,-0.0213167898969817
Ic0_scale,Tc_heterogeneity_amplitude,0.0210895540996594
Ic0_scale,W_boundary_class,-0.288912047028788
Ic0_scale,W_coverage_class,-0.117173942568305
Ic0_scale,W_crack_class,-0.13576800445184
Ic0_scale,residual_shunt,-0.0343646801245263
Ic0_scale,Ic0_scale,1
Ic0_scale,B_supp_scale,-0.233258665615521
B_supp_scale,Tc_scale,-0.023428841513836
B_supp_scale,Tc_heterogeneity_amplitude,0.0170045420983893
B_supp_scale,W_boundary_class,-0.105926187148929
B_supp_scale,W_coverage_class,-0.0342385042393903
B_supp_scale,W_crack_class,-0.00316865708537565
B_supp_scale,residual_shunt,0.0242971270007167
B_supp_scale,Ic0_scale,-0.233258665615521
B_supp_scale,B_supp_scale,1
