claim_text,claim_source,allowed_in_closed_model
preferred_field_model,phase16E_final_claims,1
preferred_spatial_representation,phase16E_final_claims,1
reduced_model_scope,phase16E_final_claims,1
connectivity_claim,phase16E_final_claims,1
local_Tc_claim,phase16E_final_claims,1
AS005_crack_claim,phase16E_final_claims,1
AS006_field_claim,phase16E_final_claims,1
Pphi_claim,phase16E_final_claims,1
quantitative_predictor_claim,phase16E_final_claims,0
unique_map_claim,phase16E_final_claims,0
topological_superconductivity,phase16E_blocked,0
vortex_dynamics,phase16E_blocked,0
electrothermal_memory,phase16E_blocked,0
Josephson_phase_dynamics,phase16E_blocked,0
unique_local_strain_map,phase16E_blocked,0
unique_microscopic_pairing_symmetry,phase16E_blocked,0
unique_individual_weak_link_map,phase16E_blocked,0
universal_quantitative_field_predictor,phase16E_blocked,0
