seed,lambda_B,q,lambdaW_AS002,lambdaW_AS004,lambdaW_AS006,joint_penalized_score,mechanism,case_family
101,1,1,0.075,0.5,1,0.37466212203215,combined physical bottleneck,combined_a3_3_p0_3
202,1,0.5,0.273861278752583,0.707106781186548,1,0.372963607329447,crack/tunnel-like weak links,crack_tunnel_a4_1_p0_3
303,1,0.5,0.273861278752583,0.707106781186548,1,0.370588841862893,crack/tunnel-like weak links,crack_tunnel_a3_3_p0_3
404,1,1.5,0.0205395959064437,0.353553390593274,1,0.316605733128038,combined physical bottleneck,combined_a3_3_p0_3
505,1,0.5,0.273861278752583,0.707106781186548,1,0.361542673680385,crack/tunnel-like weak links,crack_tunnel_a3_3_p0_3
606,1,0.5,0.273861278752583,0.707106781186548,1,0.369323411885653,crack/tunnel-like weak links,crack_tunnel_a3_7_p0_3
707,1,0.5,0.273861278752583,0.707106781186548,1,0.361334258371075,crack/tunnel-like weak links,crack_tunnel_a3_3_p0_3
808,1,0.5,0.273861278752583,0.707106781186548,1,0.338352894362986,crack/tunnel-like weak links,crack_tunnel_a3_3_p0_3
909,1,1.5,0.0205395959064437,0.353553390593274,1,0.332656473624148,combined physical bottleneck,combined_a3_3_p0_3
1010,1,0.75,0.143316418830655,0.594603557501361,1,0.303696291528281,crack/tunnel-like weak links,crack_tunnel_a3_3_p0_3
