activation_law,mechanism,model_level,case_family,basis_caseName,basis_gammaW,basis_pW,basis_alpha_gap,seed,lambda_B,q,mean_raw_score,joint_penalized_score,lambdaW_AS002,lambdaW_AS004,lambdaW_AS006,score_AS002,score_AS004,score_AS006,policy
film_force_modulated_activation,combined physical bottleneck,M2,combined_a3_3_p0_3,combined_a3_3_g0_05_p0_3,0.05,0.3,3.3,404,1,2.5,0.264630235706621,0.294630235706621,0.00154046969298328,0.176776695296637,1,0.255332378993901,0.350089443047728,0.188468885078234,one full-series coefficient set; no crack term; no per-device lambda
film_force_modulated_activation,combined physical bottleneck,M2,combined_a3_3_p0_3,combined_a3_3_g0_05_p0_3,0.05,0.3,3.3,404,0.95,2.5,0.264644063045173,0.294644063045173,0.00146344620833412,0.167937860531805,0.95,0.255317078742457,0.350146225314827,0.188468885078234,one full-series coefficient set; no crack term; no per-device lambda
film_force_modulated_activation,combined physical bottleneck,M2,combined_a3_3_p0_3,combined_a3_3_g0_05_p0_3,0.05,0.3,3.3,404,1,3,0.264667042613044,0.294667042613044,0.000421875,0.125,1,0.255110176893525,0.350422065867373,0.188468885078234,one full-series coefficient set; no crack term; no per-device lambda
film_force_modulated_activation,combined physical bottleneck,M2,combined_a3_3_p0_3,combined_a3_3_g0_05_p0_3,0.05,0.3,3.3,404,0.95,3,0.264679029606274,0.294679029606274,0.00040078125,0.11875,0.95,0.255105986747099,0.35046221699349,0.188468885078234,one full-series coefficient set; no crack term; no per-device lambda
film_force_modulated_activation,combined physical bottleneck,M2,combined_a3_3_p0_3,combined_a3_3_g0_05_p0_3,0.05,0.3,3.3,404,1,2,0.264743891589503,0.294743891589503,0.005625,0.25,1,0.256143746345243,0.349619043345032,0.188468885078234,one full-series coefficient set; no crack term; no per-device lambda
film_force_modulated_activation,combined physical bottleneck,M2,combined_a3_3_p0_3,combined_a3_3_g0_05_p0_3,0.05,0.3,3.3,404,0.95,2,0.26475203613391,0.29475203613391,0.00534375,0.2375,0.95,0.256087877726231,0.349699345597266,0.188468885078234,one full-series coefficient set; no crack term; no per-device lambda
film_force_modulated_activation,crack/tunnel-like weak links,M1,crack_tunnel_a3_3_p0_3,crack_tunnel_a3_3_g0_05_p0_3,0.05,0.3,3.3,1010,0.95,3,0.274829643305783,0.294829643305783,0.00040078125,0.11875,0.95,0.255040883179636,0.352537927809027,0.216910118928685,one full-series coefficient set; no crack term; no per-device lambda
film_force_modulated_activation,crack/tunnel-like weak links,M1,crack_tunnel_a3_3_p0_3,crack_tunnel_a3_3_g0_05_p0_3,0.05,0.3,3.3,1010,1,3,0.274852930123922,0.294852930123922,0.000421875,0.125,1,0.255041646822512,0.35260702462057,0.216910118928685,one full-series coefficient set; no crack term; no per-device lambda
film_force_modulated_activation,crack/tunnel-like weak links,M1,crack_tunnel_a3_3_p0_3,crack_tunnel_a3_3_g0_05_p0_3,0.05,0.3,3.3,1010,0.95,2.5,0.275023732252126,0.295023732252126,0.00146344620833412,0.167937860531805,0.95,0.255079354125968,0.353081723701724,0.216910118928685,one full-series coefficient set; no crack term; no per-device lambda
film_force_modulated_activation,crack/tunnel-like weak links,M1,crack_tunnel_a3_3_p0_3,crack_tunnel_a3_3_g0_05_p0_3,0.05,0.3,3.3,1010,1,2.5,0.275057234277967,0.295057234277967,0.00154046969298328,0.176776695296637,1,0.255082142555492,0.353179441349725,0.216910118928685,one full-series coefficient set; no crack term; no per-device lambda
film_force_modulated_activation,crack/tunnel-like weak links,M1,crack_tunnel_a3_3_p0_3,crack_tunnel_a3_3_g0_05_p0_3,0.05,0.3,3.3,1010,0.95,2,0.27532690543903,0.29532690543903,0.00534375,0.2375,0.95,0.255219830160065,0.35385076722834,0.216910118928685,one full-series coefficient set; no crack term; no per-device lambda
film_force_modulated_activation,crack/tunnel-like weak links,M1,crack_tunnel_a3_3_p0_3,crack_tunnel_a3_3_g0_05_p0_3,0.05,0.3,3.3,1010,1,2,0.275376363948393,0.295376363948393,0.005625,0.25,1,0.255230012065068,0.353988960851425,0.216910118928685,one full-series coefficient set; no crack term; no per-device lambda
film_force_modulated_activation,combined physical bottleneck,M2,combined_a3_3_p0_3,combined_a3_3_g0_05_p0_3,0.05,0.3,3.3,404,0.95,1.5,0.265479561660836,0.295479561660836,0.0195126161111215,0.33587572106361,0.95,0.258902437664334,0.349067362239941,0.188468885078234,one full-series coefficient set; no crack term; no per-device lambda
film_force_modulated_activation,combined physical bottleneck,M2,combined_a3_3_p0_3,combined_a3_3_g0_05_p0_3,0.05,0.3,3.3,404,1,1.5,0.265509707933636,0.295509707933636,0.0205395959064437,0.353553390593274,1,0.259106441016931,0.348953797705742,0.188468885078234,one full-series coefficient set; no crack term; no per-device lambda
film_force_modulated_activation,crack/tunnel-like weak links,M1,crack_tunnel_a3_3_p0_3,crack_tunnel_a3_3_g0_05_p0_3,0.05,0.3,3.3,1010,0.95,1.5,0.275860418017858,0.295860418017858,0.0195126161111215,0.33587572106361,0.95,0.255732776111155,0.354938359013734,0.216910118928685,one full-series coefficient set; no crack term; no per-device lambda
