synthetic_id,evidence_config,true_model,seed,primary_available,secondary_available,noise_sigma,disorder_sigma_Tc_K,normalization_sigma,generator_note
misspec_primary_only_M0_shifted_broadened_seed_0001,misspec_primary_only,M0_shifted_broadened,1,1,0,0.015,0.035,0.015,out-of-family or near-boundary synthetic challenge
misspec_primary_only_M0_shifted_broadened_seed_0002,misspec_primary_only,M0_shifted_broadened,2,1,0,0.015,0.035,0.015,out-of-family or near-boundary synthetic challenge
misspec_primary_only_M0_shifted_broadened_seed_0003,misspec_primary_only,M0_shifted_broadened,3,1,0,0.015,0.035,0.015,out-of-family or near-boundary synthetic challenge
misspec_primary_only_M0_shifted_broadened_seed_0004,misspec_primary_only,M0_shifted_broadened,4,1,0,0.015,0.035,0.015,out-of-family or near-boundary synthetic challenge
misspec_primary_only_M0_shifted_broadened_seed_0005,misspec_primary_only,M0_shifted_broadened,5,1,0,0.015,0.035,0.015,out-of-family or near-boundary synthetic challenge
misspec_primary_only_M0_shifted_broadened_seed_0006,misspec_primary_only,M0_shifted_broadened,6,1,0,0.015,0.035,0.015,out-of-family or near-boundary synthetic challenge
misspec_primary_only_M0_shifted_broadened_seed_0007,misspec_primary_only,M0_shifted_broadened,7,1,0,0.015,0.035,0.015,out-of-family or near-boundary synthetic challenge
misspec_primary_only_M0_shifted_broadened_seed_0008,misspec_primary_only,M0_shifted_broadened,8,1,0,0.015,0.035,0.015,out-of-family or near-boundary synthetic challenge
misspec_primary_only_M0_shifted_broadened_seed_0009,misspec_primary_only,M0_shifted_broadened,9,1,0,0.015,0.035,0.015,out-of-family or near-boundary synthetic challenge
misspec_primary_only_M0_shifted_broadened_seed_0010,misspec_primary_only,M0_shifted_broadened,10,1,0,0.015,0.035,0.015,out-of-family or near-boundary synthetic challenge
misspec_primary_only_M0_shifted_broadened_seed_0011,misspec_primary_only,M0_shifted_broadened,11,1,0,0.015,0.035,0.015,out-of-family or near-boundary synthetic challenge
misspec_primary_only_M0_shifted_broadened_seed_0012,misspec_primary_only,M0_shifted_broadened,12,1,0,0.015,0.035,0.015,out-of-family or near-boundary synthetic challenge
misspec_primary_only_M0_shifted_broadened_seed_0013,misspec_primary_only,M0_shifted_broadened,13,1,0,0.015,0.035,0.015,out-of-family or near-boundary synthetic challenge
