evidence_config,true_model,selected_model,count,probability
primary_only,M0,M0,80,1
primary_only,M0,M1,0,0
primary_only,M0,M2,0,0
primary_only,M1,M0,2,0.025
primary_only,M1,M1,78,0.975
primary_only,M1,M2,0,0
primary_only,M2,M0,0,0
primary_only,M2,M1,0,0
primary_only,M2,M2,80,1
primary_only,mixed,M0,0,0
primary_only,mixed,M1,80,1
primary_only,mixed,M2,0,0
primary_secondary,M0,M0,80,1
primary_secondary,M0,M1,0,0
primary_secondary,M0,M2,0,0
primary_secondary,M1,M0,0,0
primary_secondary,M1,M1,80,1
primary_secondary,M1,M2,0,0
primary_secondary,M2,M0,0,0
primary_secondary,M2,M1,0,0
primary_secondary,M2,M2,80,1
primary_secondary,mixed,M0,0,0
primary_secondary,mixed,M1,80,1
primary_secondary,mixed,M2,0,0
primary_noise,M0,M0,76,0.95
primary_noise,M0,M1,4,0.05
primary_noise,M0,M2,0,0
primary_noise,M1,M0,1,0.0125
primary_noise,M1,M1,71,0.8875
primary_noise,M1,M2,8,0.1
primary_noise,M2,M0,0,0
primary_noise,M2,M1,0,0
primary_noise,M2,M2,80,1
primary_noise,mixed,M0,0,0
primary_noise,mixed,M1,78,0.975
primary_noise,mixed,M2,2,0.025
primary_secondary_noise_disorder,M0,M0,80,1
primary_secondary_noise_disorder,M0,M1,0,0
primary_secondary_noise_disorder,M0,M2,0,0
primary_secondary_noise_disorder,M1,M0,0,0
primary_secondary_noise_disorder,M1,M1,77,0.9625
primary_secondary_noise_disorder,M1,M2,3,0.0375
primary_secondary_noise_disorder,M2,M0,0,0
primary_secondary_noise_disorder,M2,M1,0,0
primary_secondary_noise_disorder,M2,M2,80,1
primary_secondary_noise_disorder,mixed,M0,0,0
primary_secondary_noise_disorder,mixed,M1,79,0.9875
primary_secondary_noise_disorder,mixed,M2,1,0.0125
