synthetic_id,evidence_config,true_model,seed,primary_available,secondary_available,noise_sigma,disorder_sigma_Tc_K,normalization_sigma,generator_note
primary_only_M0_seed_0001,primary_only,M0,1,1,0,0.004,0.0105,0.00375,parametric normalized R(T) with known model class
primary_only_M0_seed_0002,primary_only,M0,2,1,0,0.004,0.0105,0.00375,parametric normalized R(T) with known model class
primary_only_M0_seed_0003,primary_only,M0,3,1,0,0.004,0.0105,0.00375,parametric normalized R(T) with known model class
primary_only_M0_seed_0004,primary_only,M0,4,1,0,0.004,0.0105,0.00375,parametric normalized R(T) with known model class
primary_only_M0_seed_0005,primary_only,M0,5,1,0,0.004,0.0105,0.00375,parametric normalized R(T) with known model class
primary_only_M0_seed_0006,primary_only,M0,6,1,0,0.004,0.0105,0.00375,parametric normalized R(T) with known model class
primary_only_M0_seed_0007,primary_only,M0,7,1,0,0.004,0.0105,0.00375,parametric normalized R(T) with known model class
primary_only_M0_seed_0008,primary_only,M0,8,1,0,0.004,0.0105,0.00375,parametric normalized R(T) with known model class
primary_only_M0_seed_0009,primary_only,M0,9,1,0,0.004,0.0105,0.00375,parametric normalized R(T) with known model class
primary_only_M0_seed_0010,primary_only,M0,10,1,0,0.004,0.0105,0.00375,parametric normalized R(T) with known model class
primary_only_M0_seed_0011,primary_only,M0,11,1,0,0.004,0.0105,0.00375,parametric normalized R(T) with known model class
primary_only_M0_seed_0012,primary_only,M0,12,1,0,0.004,0.0105,0.00375,parametric normalized R(T) with known model class
primary_only_M0_seed_0013,primary_only,M0,13,1,0,0.004,0.0105,0.00375,parametric normalized R(T) with known model class
primary_only_M0_seed_0014,primary_only,M0,14,1,0,0.004,0.0105,0.00375,parametric normalized R(T) with known model class
primary_only_M0_seed_0015,primary_only,M0,15,1,0,0.004,0.0105,0.00375,parametric normalized R(T) with known model class
primary_only_M0_seed_0016,primary_only,M0,16,1,0,0.004,0.0105,0.00375,parametric normalized R(T) with known model class
primary_only_M0_seed_0017,primary_only,M0,17,1,0,0.004,0.0105,0.00375,parametric normalized R(T) with known model class
primary_only_M0_seed_0018,primary_only,M0,18,1,0,0.004,0.0105,0.00375,parametric normalized R(T) with known model class
primary_only_M0_seed_0019,primary_only,M0,19,1,0,0.004,0.0105,0.00375,parametric normalized R(T) with known model class
primary_only_M0_seed_0020,primary_only,M0,20,1,0,0.004,0.0105,0.00375,parametric normalized R(T) with known model class
primary_only_M0_seed_0021,primary_only,M0,21,1,0,0.004,0.0105,0.00375,parametric normalized R(T) with known model class
primary_only_M0_seed_0022,primary_only,M0,22,1,0,0.004,0.0105,0.00375,parametric normalized R(T) with known model class
primary_only_M0_seed_0023,primary_only,M0,23,1,0,0.004,0.0105,0.00375,parametric normalized R(T) with known model class
primary_only_M0_seed_0024,primary_only,M0,24,1,0,0.004,0.0105,0.00375,parametric normalized R(T) with known model class
primary_only_M0_seed_0025,primary_only,M0,25,1,0,0.004,0.0105,0.00375,parametric normalized R(T) with known model class
primary_only_M0_seed_0026,primary_only,M0,26,1,0,0.004,0.0105,0.00375,parametric normalized R(T) with known model class
primary_only_M0_seed_0027,primary_only,M0,27,1,0,0.004,0.0105,0.00375,parametric normalized R(T) with known model class
primary_only_M0_seed_0028,primary_only,M0,28,1,0,0.004,0.0105,0.00375,parametric normalized R(T) with known model class
primary_only_M0_seed_0029,primary_only,M0,29,1,0,0.004,0.0105,0.00375,parametric normalized R(T) with known model class
primary_only_M0_seed_0030,primary_only,M0,30,1,0,0.004,0.0105,0.00375,parametric normalized R(T) with known model class
primary_only_M0_seed_0031,primary_only,M0,31,1,0,0.004,0.0105,0.00375,parametric normalized R(T) with known model class
primary_only_M0_seed_0032,primary_only,M0,32,1,0,0.004,0.0105,0.00375,parametric normalized R(T) with known model class
primary_only_M0_seed_0033,primary_only,M0,33,1,0,0.004,0.0105,0.00375,parametric normalized R(T) with known model class
primary_only_M0_seed_0034,primary_only,M0,34,1,0,0.004,0.0105,0.00375,parametric normalized R(T) with known model class
primary_only_M0_seed_0035,primary_only,M0,35,1,0,0.004,0.0105,0.00375,parametric normalized R(T) with known model class
primary_only_M0_seed_0036,primary_only,M0,36,1,0,0.004,0.0105,0.00375,parametric normalized R(T) with known model class
primary_only_M0_seed_0037,primary_only,M0,37,1,0,0.004,0.0105,0.00375,parametric normalized R(T) with known model class
primary_only_M0_seed_0038,primary_only,M0,38,1,0,0.004,0.0105,0.00375,parametric normalized R(T) with known model class
primary_only_M0_seed_0039,primary_only,M0,39,1,0,0.004,0.0105,0.00375,parametric normalized R(T) with known model class
primary_only_M0_seed_0040,primary_only,M0,40,1,0,0.004,0.0105,0.00375,parametric normalized R(T) with known model class
primary_only_M0_seed_0041,primary_only,M0,41,1,0,0.004,0.0105,0.00375,parametric normalized R(T) with known model class
primary_only_M0_seed_0042,primary_only,M0,42,1,0,0.004,0.0105,0.00375,parametric normalized R(T) with known model class
primary_only_M0_seed_0043,primary_only,M0,43,1,0,0.004,0.0105,0.00375,parametric normalized R(T) with known model class
primary_only_M0_seed_0044,primary_only,M0,44,1,0,0.004,0.0105,0.00375,parametric normalized R(T) with known model class
primary_only_M0_seed_0045,primary_only,M0,45,1,0,0.004,0.0105,0.00375,parametric normalized R(T) with known model class
primary_only_M0_seed_0046,primary_only,M0,46,1,0,0.004,0.0105,0.00375,parametric normalized R(T) with known model class
primary_only_M0_seed_0047,primary_only,M0,47,1,0,0.004,0.0105,0.00375,parametric normalized R(T) with known model class
primary_only_M0_seed_0048,primary_only,M0,48,1,0,0.004,0.0105,0.00375,parametric normalized R(T) with known model class
primary_only_M0_seed_0049,primary_only,M0,49,1,0,0.004,0.0105,0.00375,parametric normalized R(T) with known model class
primary_only_M0_seed_0050,primary_only,M0,50,1,0,0.004,0.0105,0.00375,parametric normalized R(T) with known model class
primary_only_M0_seed_0051,primary_only,M0,51,1,0,0.004,0.0105,0.00375,parametric normalized R(T) with known model class
primary_only_M0_seed_0052,primary_only,M0,52,1,0,0.004,0.0105,0.00375,parametric normalized R(T) with known model class
