artifact,path,exists,bytes,modified_datenum,commit_sha,freeze_policy
phase5C_label_mapping_policy,/private/tmp/LTSpice-Superconducting-Circuit-phase5CD-session-clean/matlab_v8_0/outputs/v8_0_phase5_transfer_plan/phase5C_label_mapping_policy.csv,1,305,740191.436793981,7bf859df21a4aadfa49c4a8e1e0846eccbe2991b,Phase 5C is frozen; misspecification failures motivate Phase 5D calibration.
phase5C_synthetic_manifest,/private/tmp/LTSpice-Superconducting-Circuit-phase5CD-session-clean/matlab_v8_0/outputs/v8_0_phase5_transfer_plan/phase5C_synthetic_recovery_manifest.csv,1,170566,740191.436793981,7bf859df21a4aadfa49c4a8e1e0846eccbe2991b,Phase 5C is frozen; misspecification failures motivate Phase 5D calibration.
phase5C_synthetic_score_ledger,/private/tmp/LTSpice-Superconducting-Circuit-phase5CD-session-clean/matlab_v8_0/outputs/v8_0_phase5_transfer_plan/phase5C_synthetic_score_ledger.csv,1,1055623,740191.436793981,7bf859df21a4aadfa49c4a8e1e0846eccbe2991b,Phase 5C is frozen; misspecification failures motivate Phase 5D calibration.
phase5C_recovery_matrix,/private/tmp/LTSpice-Superconducting-Circuit-phase5CD-session-clean/matlab_v8_0/outputs/v8_0_phase5_transfer_plan/phase5C_recovery_matrix.csv,1,1582,740191.436793981,7bf859df21a4aadfa49c4a8e1e0846eccbe2991b,Phase 5C is frozen; misspecification failures motivate Phase 5D calibration.
phase5C_recovery_summary,/private/tmp/LTSpice-Superconducting-Circuit-phase5CD-session-clean/matlab_v8_0/outputs/v8_0_phase5_transfer_plan/phase5C_recovery_summary.csv,1,584,740191.436793981,7bf859df21a4aadfa49c4a8e1e0846eccbe2991b,Phase 5C is frozen; misspecification failures motivate Phase 5D calibration.
phase5C_misspecification_manifest,/private/tmp/LTSpice-Superconducting-Circuit-phase5CD-session-clean/matlab_v8_0/outputs/v8_0_phase5_transfer_plan/phase5C_misspecification_manifest.csv,1,69740,740191.436793981,7bf859df21a4aadfa49c4a8e1e0846eccbe2991b,Phase 5C is frozen; misspecification failures motivate Phase 5D calibration.
phase5C_misspecification_score_ledger,/private/tmp/LTSpice-Superconducting-Circuit-phase5CD-session-clean/matlab_v8_0/outputs/v8_0_phase5_transfer_plan/phase5C_misspecification_score_ledger.csv,1,379402,740191.436793981,7bf859df21a4aadfa49c4a8e1e0846eccbe2991b,Phase 5C is frozen; misspecification failures motivate Phase 5D calibration.
phase5C_misspecification_summary,/private/tmp/LTSpice-Superconducting-Circuit-phase5CD-session-clean/matlab_v8_0/outputs/v8_0_phase5_transfer_plan/phase5C_misspecification_summary.csv,1,547,740191.436793981,7bf859df21a4aadfa49c4a8e1e0846eccbe2991b,Phase 5C is frozen; misspecification failures motivate Phase 5D calibration.
phase5C_misspecification_gates,/private/tmp/LTSpice-Superconducting-Circuit-phase5CD-session-clean/matlab_v8_0/outputs/v8_0_phase5_transfer_plan/phase5C_misspecification_gate_results.csv,1,818,740191.436793981,7bf859df21a4aadfa49c4a8e1e0846eccbe2991b,Phase 5C is frozen; misspecification failures motivate Phase 5D calibration.
phase5C_handoff_status,/private/tmp/LTSpice-Superconducting-Circuit-phase5CD-session-clean/matlab_v8_0/outputs/v8_0_phase5_transfer_plan/phase5C_handoff_status.csv,1,1468,740191.436793981,7bf859df21a4aadfa49c4a8e1e0846eccbe2991b,Phase 5C is frozen; misspecification failures motivate Phase 5D calibration.
