device,replay_class,replay_id,parameter_name,parameter_value,baseline_DeltaS,deltaS_drift,replay_DeltaS,baseline_direction,replay_direction,Z_drift,replay_status,note
AS001,normalization_window,shift_-0.03_K,window_shift_K,-0.03,-0.0235825070255738,-0.008,-0.0315825070255738,structured_direction,structured_direction,-0.2,completed,Frozen-context replay perturbation; no model refit or relabeling.
AS001,normalization_window,shift_0_K,window_shift_K,0,-0.0235825070255738,0,-0.0235825070255738,structured_direction,structured_direction,0,completed,Frozen-context replay perturbation; no model refit or relabeling.
AS001,normalization_window,shift_0.03_K,window_shift_K,0.03,-0.0235825070255738,0.008,-0.0155825070255738,structured_direction,near_tie,0.2,completed,Frozen-context replay perturbation; no model refit or relabeling.
AS002,normalization_window,shift_-0.03_K,window_shift_K,-0.03,0.032156854108136,0.006,0.038156854108136,M0star_direction,M0star_direction,0.15,completed,Frozen-context replay perturbation; no model refit or relabeling.
AS002,normalization_window,shift_0_K,window_shift_K,0,0.032156854108136,-0,0.032156854108136,M0star_direction,M0star_direction,-0,completed,Frozen-context replay perturbation; no model refit or relabeling.
AS002,normalization_window,shift_0.03_K,window_shift_K,0.03,0.032156854108136,-0.006,0.026156854108136,M0star_direction,M0star_direction,-0.15,completed,Frozen-context replay perturbation; no model refit or relabeling.
AS003,normalization_window,shift_-0.03_K,window_shift_K,-0.03,0.00501930572189299,-0.004,0.00101930572189299,near_tie,near_tie,-0.1,completed,Frozen-context replay perturbation; no model refit or relabeling.
AS003,normalization_window,shift_0_K,window_shift_K,0,0.00501930572189299,0,0.00501930572189299,near_tie,near_tie,0,completed,Frozen-context replay perturbation; no model refit or relabeling.
AS003,normalization_window,shift_0.03_K,window_shift_K,0.03,0.00501930572189299,0.004,0.00901930572189299,near_tie,near_tie,0.1,completed,Frozen-context replay perturbation; no model refit or relabeling.
AS004,normalization_window,shift_-0.03_K,window_shift_K,-0.03,-0.009142548957498,-0.012,-0.021142548957498,near_tie,structured_direction,-0.3,completed,Frozen-context replay perturbation; no model refit or relabeling.
AS004,normalization_window,shift_0_K,window_shift_K,0,-0.009142548957498,0,-0.009142548957498,near_tie,near_tie,0,completed,Frozen-context replay perturbation; no model refit or relabeling.
AS004,normalization_window,shift_0.03_K,window_shift_K,0.03,-0.009142548957498,0.012,0.002857451042502,near_tie,near_tie,0.3,completed,Frozen-context replay perturbation; no model refit or relabeling.
AS005,normalization_window,shift_-0.03_K,window_shift_K,-0.03,-0.12061186753391,-0.015,-0.13561186753391,structured_direction,structured_direction,-0.375,completed,Frozen-context replay perturbation; no model refit or relabeling.
AS005,normalization_window,shift_0_K,window_shift_K,0,-0.12061186753391,0,-0.12061186753391,structured_direction,structured_direction,0,completed,Frozen-context replay perturbation; no model refit or relabeling.
AS005,normalization_window,shift_0.03_K,window_shift_K,0.03,-0.12061186753391,0.015,-0.10561186753391,structured_direction,structured_direction,0.375,completed,Frozen-context replay perturbation; no model refit or relabeling.
AS006,normalization_window,shift_-0.03_K,window_shift_K,-0.03,-0.188002252409301,-0.018,-0.206002252409301,structured_direction,structured_direction,-0.45,completed,Frozen-context replay perturbation; no model refit or relabeling.
AS006,normalization_window,shift_0_K,window_shift_K,0,-0.188002252409301,0,-0.188002252409301,structured_direction,structured_direction,0,completed,Frozen-context replay perturbation; no model refit or relabeling.
AS006,normalization_window,shift_0.03_K,window_shift_K,0.03,-0.188002252409301,0.018,-0.170002252409301,structured_direction,structured_direction,0.45,completed,Frozen-context replay perturbation; no model refit or relabeling.
