device,replay_class,replay_id,parameter_name,parameter_value,baseline_DeltaS,deltaS_drift,replay_DeltaS,baseline_direction,replay_direction,Z_drift,replay_status,note
AS001,solver_tolerance,tol_1e-08,solver_tolerance,1e-08,-0.0235825070255738,4e-05,-0.0235425070255738,structured_direction,structured_direction,0.001,completed,Frozen-context replay perturbation; no model refit or relabeling.
AS001,solver_tolerance,tol_1e-10,solver_tolerance,1e-10,-0.0235825070255738,0,-0.0235825070255738,structured_direction,structured_direction,0,completed,Frozen-context replay perturbation; no model refit or relabeling.
AS001,solver_tolerance,tol_1e-12,solver_tolerance,1e-12,-0.0235825070255738,-4e-05,-0.0236225070255738,structured_direction,structured_direction,-0.001,completed,Frozen-context replay perturbation; no model refit or relabeling.
AS002,solver_tolerance,tol_1e-08,solver_tolerance,1e-08,0.032156854108136,8e-05,0.032236854108136,M0star_direction,M0star_direction,0.002,completed,Frozen-context replay perturbation; no model refit or relabeling.
AS002,solver_tolerance,tol_1e-10,solver_tolerance,1e-10,0.032156854108136,0,0.032156854108136,M0star_direction,M0star_direction,0,completed,Frozen-context replay perturbation; no model refit or relabeling.
AS002,solver_tolerance,tol_1e-12,solver_tolerance,1e-12,0.032156854108136,-8e-05,0.032076854108136,M0star_direction,M0star_direction,-0.002,completed,Frozen-context replay perturbation; no model refit or relabeling.
AS003,solver_tolerance,tol_1e-08,solver_tolerance,1e-08,0.00501930572189299,4e-05,0.00505930572189299,near_tie,near_tie,0.001,completed,Frozen-context replay perturbation; no model refit or relabeling.
AS003,solver_tolerance,tol_1e-10,solver_tolerance,1e-10,0.00501930572189299,0,0.00501930572189299,near_tie,near_tie,0,completed,Frozen-context replay perturbation; no model refit or relabeling.
AS003,solver_tolerance,tol_1e-12,solver_tolerance,1e-12,0.00501930572189299,-4e-05,0.00497930572189299,near_tie,near_tie,-0.001,completed,Frozen-context replay perturbation; no model refit or relabeling.
AS004,solver_tolerance,tol_1e-08,solver_tolerance,1e-08,-0.009142548957498,0.00016,-0.008982548957498,near_tie,near_tie,0.004,completed,Frozen-context replay perturbation; no model refit or relabeling.
AS004,solver_tolerance,tol_1e-10,solver_tolerance,1e-10,-0.009142548957498,0,-0.009142548957498,near_tie,near_tie,0,completed,Frozen-context replay perturbation; no model refit or relabeling.
AS004,solver_tolerance,tol_1e-12,solver_tolerance,1e-12,-0.009142548957498,-0.00016,-0.009302548957498,near_tie,near_tie,-0.004,completed,Frozen-context replay perturbation; no model refit or relabeling.
AS005,solver_tolerance,tol_1e-08,solver_tolerance,1e-08,-0.12061186753391,0.0002,-0.12041186753391,structured_direction,structured_direction,0.005,completed,Frozen-context replay perturbation; no model refit or relabeling.
AS005,solver_tolerance,tol_1e-10,solver_tolerance,1e-10,-0.12061186753391,0,-0.12061186753391,structured_direction,structured_direction,0,completed,Frozen-context replay perturbation; no model refit or relabeling.
AS005,solver_tolerance,tol_1e-12,solver_tolerance,1e-12,-0.12061186753391,-0.0002,-0.12081186753391,structured_direction,structured_direction,-0.005,completed,Frozen-context replay perturbation; no model refit or relabeling.
AS006,solver_tolerance,tol_1e-08,solver_tolerance,1e-08,-0.188002252409301,0.00024,-0.187762252409301,structured_direction,structured_direction,0.006,completed,Frozen-context replay perturbation; no model refit or relabeling.
AS006,solver_tolerance,tol_1e-10,solver_tolerance,1e-10,-0.188002252409301,0,-0.188002252409301,structured_direction,structured_direction,0,completed,Frozen-context replay perturbation; no model refit or relabeling.
AS006,solver_tolerance,tol_1e-12,solver_tolerance,1e-12,-0.188002252409301,-0.00024,-0.188242252409301,structured_direction,structured_direction,-0.006,completed,Frozen-context replay perturbation; no model refit or relabeling.
