artifact_id,path,required,purpose,exists,file_size_bytes,modified_datenum,frozen_use
phase5D2_result_freeze_status,/Users/asewaket/Documents/LTSpice Superconducting Circuit/matlab_v8_0/outputs/v8_0_phase5_transfer_plan/phase5D2_result_freeze_status.csv,1,Phase 5D2 negative classifier result and evidence policy,1,1251,740191.799884259,read_only_final_packaging_no_rescore
phase5D2_real_device_score_context,/Users/asewaket/Documents/LTSpice Superconducting Circuit/matlab_v8_0/outputs/v8_0_phase5_transfer_plan/phase5D2_real_device_score_context.csv,1,contextual DeltaS/Z and score context,1,4665,740191.799884259,read_only_final_packaging_no_rescore
phase5D2_device_evidence_synthesis,/Users/asewaket/Documents/LTSpice Superconducting Circuit/matlab_v8_0/outputs/v8_0_phase5_transfer_plan/phase5D2_device_evidence_synthesis.csv,1,multi-evidence device synthesis before Phase 6,1,2987,740191.799884259,read_only_final_packaging_no_rescore
phase6_six_device_evidence_matrix,/Users/asewaket/Documents/LTSpice Superconducting Circuit/matlab_v8_0/outputs/v8_0_phase5_transfer_plan/phase6_six_device_evidence_matrix.csv,1,frozen six-device hierarchy and evidence matrix,1,4384,740191.799965278,read_only_final_packaging_no_rescore
phase6_device_model_status,/Users/asewaket/Documents/LTSpice Superconducting Circuit/matlab_v8_0/outputs/v8_0_phase5_transfer_plan/phase6_device_model_status.csv,1,frozen device model statuses,1,794,740191.799965278,read_only_final_packaging_no_rescore
phase6_claim_hierarchy,/Users/asewaket/Documents/LTSpice Superconducting Circuit/matlab_v8_0/outputs/v8_0_phase5_transfer_plan/phase6_claim_hierarchy.csv,1,Phase 6 claim hierarchy,1,713,740191.799965278,read_only_final_packaging_no_rescore
phase7B_device_robustness_annotations,/Users/asewaket/Documents/LTSpice Superconducting Circuit/matlab_v8_0/outputs/v8_0_phase5_transfer_plan/phase7B_device_robustness_annotations.csv,1,geometry and mechanical-mask robustness annotations,1,1563,740191.871412037,read_only_final_packaging_no_rescore
phase7B_gate_summary,/Users/asewaket/Documents/LTSpice Superconducting Circuit/matlab_v8_0/outputs/v8_0_phase5_transfer_plan/phase7B_gate_summary.csv,1,Phase 7B-G robustness gates,1,884,740191.871412037,read_only_final_packaging_no_rescore
phase8_gate_summary,/Users/asewaket/Documents/LTSpice Superconducting Circuit/matlab_v8_0/outputs/v8_0_phase5_transfer_plan/phase8_gate_summary.csv,1,Phase 8A implementation/numerical audit gates,1,668,740191.915324074,read_only_final_packaging_no_rescore
phase8B_status_stability_summary,/Users/asewaket/Documents/LTSpice Superconducting Circuit/matlab_v8_0/outputs/v8_0_phase5_transfer_plan/phase8B_status_stability_summary.csv,1,frozen-context numerical replay status stability,1,1316,740191.915381944,read_only_final_packaging_no_rescore
phase8B_gate_summary,/Users/asewaket/Documents/LTSpice Superconducting Circuit/matlab_v8_0/outputs/v8_0_phase5_transfer_plan/phase8B_gate_summary.csv,1,Phase 8B numerical replay gates,1,927,740191.915381944,read_only_final_packaging_no_rescore
phase8B_handoff_status,/Users/asewaket/Documents/LTSpice Superconducting Circuit/matlab_v8_0/outputs/v8_0_phase5_transfer_plan/phase8B_handoff_status.csv,1,Phase 8B handoff to final model packaging,1,1285,740191.915381944,read_only_final_packaging_no_rescore
